b e c n w b:e b:c b:n b:w e:c e:n e:w c:n c:w n:w b:e:c b:e:n b:e:w b:c:n b:c:w b:n:w e:c:n e:c:w e:n:w c:n:w b:e:c:n b:e:c:w b:e:n:w b:c:n:w e:c:n:w
4302634.3369882 1573231.4725118 1697602.4170754 1601011.0016451 1442293.7964954 71377.5889798 80967.0103102 58666.2241686 60061.6513885 339608.5378765 204326.5143069 148150.0811406 185427.2459516 134900.9270468 414009.4186232 63382.2307937 32360.2614917 31832.5048543 33400.6252457 32141.4391148 57349.7954160 163841.1802503 125976.8124745 221006.4358065 185357.9181955 88668.1387500 83077.4126072 104179.8637130 93838.7500288 1670980.9469643
4310698.6812204 1572039.9408946 1695208.2756192 1601624.9463504 1440597.6393693 72162.6936452 81075.2597407 58357.4038900 59481.0150811 339705.4600094 204423.6087279 147866.8972762 184501.7097903 135526.4331971 414854.8406360 63407.5131453 32967.7542508 31642.7335282 33325.6638623 31958.4076442 57964.8793641 163750.9726513 126105.1720272 221056.3340043 186262.8369842 89271.5184838 82734.8426281 104990.2933812 94609.6501765 1677762.8137756
4300777.4176527 1572737.3517828 1697218.9617214 1604177.3029215 1442619.8736908 72123.4091973 81455.8450399 58296.2310120 59959.3448389 340640.7812458 205567.3907800 148822.9193864 185799.0190330 135951.8060617 413494.0242809 63727.9319759 33277.7900622 31947.7716194 33781.3858609 32375.1181889 57186.4764662 164985.0672592 126632.9212368 221751.6533911 186291.9922906 90819.2606114 83046.2237523 104223.5283398 94062.6344135 1668370.2747392
4293090.8957089 1572223.6024854 1696981.2329610 1603676.8808854 1445657.2754404 70913.6239337 80009.2737175 59178.3197398 59447.6171672 339690.2563026 205215.8935737 148997.4182947 185619.2831771 136176.7626319 415624.8894556 63513.9343390 32824.0675166 31751.9179480 33662.9220506 32037.3865913 57482.2004758 164644.5459542 127025.2908778 220123.0466309 184995.2920128 90172.1346443 83054.7793596 104079.2008348 94112.9168951 1664301.0334761
4304316.2292785 1572802.7723519 1696719.4419663 1601817.5793920 1441004.5145668 71674.5676243 80663.1582202 57971.4399932 59721.6210665 340012.3177827 204072.8763706 148548.5900810 184322.3936277 135509.1867908 414314.1766516 63457.0852139 32380.5485633 31422.5268328 33195.4945369 31577.6241168 57267.0885898 163756.9758129 126353.7987122 220768.3420549 185804.8638213 89470.0932511 82536.1544653 104323.9116706 93816.7186251 1673201.4642475
4307137.1437965 1574402.7827591 1695929.9776680 1599996.5702154 1441576.8975267 71764.2611634 80914.9400330 58118.3687412 60002.2603727 339763.0376544 204551.7032405 148055.3713412 185005.0503459 135800.5115208 415394.2696670 63229.2476587 32973.7164562 31808.1164649 33513.3862294 32081.0638420 58296.7682813 163594.8558108 125727.2679471 220813.2391593 186623.6111915 89453.1955524 82770.3725944 104504.7877508 94532.1531889 1674400.6569650
4302053.1832638 1573546.1607375 1696680.2935874 1601813.0570957 1442983.8758188 71109.6336212 80056.7825153 57830.6362291 59536.9250244 339559.1449427 204360.2527379 148188.3578912 184899.5866684 135368.8186352 414789.7189244 62860.6829585 32521.9262096 31548.3856788 32814.5810393 31735.5252561 56847.1744343 163589.5215055 125975.0054455 220377.9118629 185499.8142805 89085.0004885 82298.4591842 103305.9210278 93360.9823152 1667697.9283444
4298433.0252542 1573514.5315308 1697446.0294678 1600260.1244483 1442534.4232268 71093.8077798 80020.4417240 58209.9834820 60101.9929859 339386.4782235 204109.0041163 148384.7886131 184146.1230120 135464.4053227 414202.6421793 63076.2479304 32803.7902731 31506.4077923 33420.6476043 31740.3363423 57775.7528531 163397.2199474 125671.4388311 220516.2427691 185567.1432601 89351.2217390 81660.1599681 104450.2722320 94185.3510404 1673866.4197131
4298601.5963464 1574257.5284603 1697295.3211456 1602352.7211070 1444530.8072231 72057.5524645 80729.2923361 58367.2316942 60108.0395834 340911.3860913 205256.8777379 147325.1619591 184546.9832734 135814.9185160 416110.3308306 63478.8949069 32855.4325345 31706.1920858 32954.5317725 32101.3643958 57764.0896626 165397.3326380 126465.7520757 220712.7784393 186521.5108381 90065.4703057 82784.8314850 104768.7643974 94584.7356933 1664644.3579956
4298196.2386546 1573848.0868244 1696205.7016365 1602005.3704940 1443295.3247303 71289.0268915 79624.0651373 57838.3087664 59635.7295286 340098.1152065 205142.0753403 147919.5397096 184838.1391082 136031.6988726 413163.2299154 62673.5640135 32700.3355453 31521.6321310 33223.9390430 32077.7044339 58248.3537122 164292.2237767 125501.0880534 219281.0081125 185901.9055146 89982.4751499 82755.6596046 104414.4303125 95042.5052019 1667018.9374908
