model_name,type,bepe
be2,autosomes,1.161849129E-05
beg2,autosomes,1.167321432E-05
e2,autosomes,1.172003014E-05
eg2,autosomes,1.172025477E-05
bdeg2,autosomes,1.179505028E-05
beg,autosomes,1.195320845E-05
bde2,autosomes,1.205761012E-05
e,autosomes,1.208941169E-05
be,autosomes,1.226624474E-05
ef2,autosomes,1.227691370E-05
de2,autosomes,1.228666036E-05
eg,autosomes,1.228705699E-05
bde,autosomes,1.229135919E-05
de,autosomes,1.232775308E-05
abdef,autosomes,1.248541448E-05
abdef2,autosomes,1.249979026E-05
abef,autosomes,1.253312370E-05
abde2,autosomes,1.254993483E-05
abde,autosomes,1.255932863E-05
abef2,autosomes,1.259687361E-05
abe2,autosomes,1.264280587E-05
adef2,autosomes,1.268284315E-05
abe,autosomes,1.268389352E-05
ade2,autosomes,1.278964470E-05
ade,autosomes,1.281239907E-05
adef,autosomes,1.282303428E-05
ef,autosomes,1.283459369E-05
def,autosomes,1.287549392E-05
eh2,autosomes,1.287675974E-05
beh2,autosomes,1.288126671E-05
bd,autosomes,1.291602686E-05
aef2,autosomes,1.292823818E-05
aef,autosomes,1.297034962E-05
bdf2,autosomes,1.297156633E-05
ae2,autosomes,1.297924626E-05
def2,autosomes,1.301408635E-05
bdef,autosomes,1.301753986E-05
bdf,autosomes,1.304406012E-05
ae,autosomes,1.304616168E-05
df2,autosomes,1.311810881E-05
bd2,autosomes,1.315692006E-05
bdef2,autosomes,1.318887454E-05
d2,autosomes,1.321772868E-05
bdegh2,autosomes,1.322369666E-05
bef,autosomes,1.326004687E-05
adf2,autosomes,1.327356405E-05
bef2,autosomes,1.327996539E-05
egh2,autosomes,1.329665503E-05
df,autosomes,1.333105493E-05
abdf,autosomes,1.335945291E-05
ad2,autosomes,1.338283015E-05
abd2,autosomes,1.339099375E-05
abd,autosomes,1.342006820E-05
bdeh2,autosomes,1.344808864E-05
begh2,autosomes,1.345903086E-05
abdf2,autosomes,1.349016360E-05
ad,autosomes,1.350732023E-05
adf,autosomes,1.351543247E-05
d,autosomes,1.384461020E-05
b2,autosomes,1.431416245E-05
b,autosomes,1.438415352E-05
f,autosomes,1.442652299E-05
bf,autosomes,1.453034651E-05
f2,autosomes,1.455032289E-05
bf2,autosomes,1.456135615E-05
null2,autosomes,1.464800187E-05
abf2,autosomes,1.469881347E-05
null,autosomes,1.470044045E-05
abf,autosomes,1.480227770E-05
ab2,autosomes,1.491451472E-05
ab,autosomes,1.493573463E-05
a,autosomes,1.523662119E-05
a2,autosomes,1.531481452E-05
af,autosomes,1.535912920E-05
af2,autosomes,1.538868636E-05
acdef,autosomes,1.541618706E-05
acef,autosomes,1.558398794E-05
acde,autosomes,1.562700919E-05
acd,autosomes,1.569872357E-05
cef,autosomes,1.573559482E-05
abcef,autosomes,1.574407240E-05
ace,autosomes,1.575951616E-05
abcdef,autosomes,1.587088959E-05
acdf,autosomes,1.587290560E-05
abce,autosomes,1.600811061E-05
abcde,autosomes,1.601895224E-05
cdef,autosomes,1.614073416E-05
bce,autosomes,1.642711553E-05
abcd,autosomes,1.661951741E-05
cde,autosomes,1.668908022E-05
abcdf,autosomes,1.675328459E-05
ce,autosomes,1.679065217E-05
bcdef,autosomes,1.685278523E-05
bcef,autosomes,1.689214524E-05
acf,autosomes,1.707615466E-05
cd,autosomes,1.731270120E-05
ac,autosomes,1.747603719E-05
bcde,autosomes,1.753688701E-05
c,autosomes,1.760154389E-05
abcf,autosomes,1.762231772E-05
bcd,autosomes,1.767789205E-05
bcf,autosomes,1.769775546E-05
cdf,autosomes,1.770371192E-05
abc,autosomes,1.771463181E-05
bcdf,autosomes,1.777151413E-05
bc,autosomes,1.801455345E-05
cf,autosomes,1.802096981E-05
beg2,x chromosome,1.052433227E-05
be2,x chromosome,1.056879518E-05
abdefg2,x chromosome,1.059267210E-05
abde2,x chromosome,1.060006083E-05
abdef2,x chromosome,1.060641844E-05
abdeg2,x chromosome,1.064743513E-05
bde,x chromosome,1.065900081E-05
bdeg,x chromosome,1.065906722E-05
e2,x chromosome,1.066560062E-05
abef2,x chromosome,1.070111601E-05
abe2,x chromosome,1.071177815E-05
be,x chromosome,1.071273923E-05
abde,x chromosome,1.071367636E-05
bde2,x chromosome,1.071509849E-05
abdef,x chromosome,1.072710261E-05
abef,x chromosome,1.073920832E-05
abe,x chromosome,1.076182093E-05
adef2,x chromosome,1.078022993E-05
