b,e,c,n,w,be,bc,bn,bw,ec,en,ew,cn,cw,nw,bec,ben,bew,bcn,bcw,bnw,ecn,ecw,enw,cnw,becn,becw,benw,bcnw,ecnw
136654.283,52465.98174,55841.24513,49986.69447,49939.14886,2376.330309,2741.499781,2064.945366,2062.008824,10926.97354,5673.359846,5720.905464,4732.582487,4723.007315,13490.22507,2227.720899,1211.272191,1214.208734,1214.312574,1211.375165,2225.834072,5950.166775,5959.741947,8315.855383,6876.021502,2062.871317,2065.808726,2729.186102,2367.055816,55528.32994
136673.3467,52456.91239,55844.36257,50015.2735,49962.09006,2385.818684,2754.344987,2070.137753,2066.85011,10955.32468,5683.727758,5736.911193,4744.266441,4733.55533,13480.04696,2231.742381,1214.808735,1218.096378,1218.212822,1214.924099,2229.636769,5958.059678,5968.770788,8339.895062,6891.626025,2067.813001,2071.101724,2740.600028,2375.477952,55503.32961
137096.1957,52600.89201,55917.64887,49978.78057,49932.23577,2408.255368,2772.406653,2071.432098,2068.534976,10921.35735,5659.747124,5706.291926,4740.146275,4730.719123,13547.55818,2243.755877,1215.84835,1218.745471,1218.872575,1215.974387,2241.378542,5956.571708,5965.99886,8368.661833,6943.10223,2069.618925,2072.517114,2756.971538,2396.543508,55901.81767
136813.0559,52537.13682,55900.62071,50062.62507,50009.11247,2392.569867,2758.314037,2077.809133,2074.488075,10951.98698,5685.864659,5739.377249,4753.268774,4742.468389,13499.75997,2239.833495,1219.350507,1222.671565,1222.773976,1219.451954,2237.971244,5969.394704,5980.195089,8341.983746,6904.815758,2075.342176,2078.664198,2746.170531,2383.411351,55581.33643
136661.9914,52543.26375,55901.01802,50090.51252,50049.64584,2387.040279,2749.962481,2084.216256,2081.677732,10960.62343,5700.253473,5741.120153,4758.00187,4749.750145,13516.50306,2242.164886,1221.435341,1223.973866,1224.072751,1221.533518,2240.372685,5987.343941,5995.595666,8314.060592,6886.86227,2082.500783,2085.040016,2738.334246,2378.280643,55399.84642
136774.4551,52455.09841,55842.27879,49954.6453,49899.74767,2378.396458,2745.963958,2060.171716,2056.783698,10932.89511,5661.060027,5715.957657,4723.677793,4712.629766,13501.62701,2228.442487,1208.918233,1212.306251,1212.412433,1209.02339,2226.505424,5936.535268,5947.583295,8333.645424,6883.844711,2057.666848,2061.055892,2733.299544,2368.851168,55671.39171
137040.3234,52581.28963,55904.5689,49981.19339,49940.98956,2397.595641,2759.474792,2074.942043,2072.438105,10915.84349,5672.140475,5712.344307,4743.815358,4735.667621,13552.31779,2243.344606,1217.156718,1219.660655,1219.769818,1217.265093,2241.31918,5968.573634,5976.721371,8343.359969,6921.676155,2073.364173,2075.868898,2746.325195,2387.63486,55842.89445
136650.2045,52450.03462,55810.92927,49995.67093,49940.96086,2369.924339,2734.020816,2055.894726,2052.527163,10931.0629,5645.37797,5700.088045,4714.266081,4703.273848,13460.92211,2221.42642,1205.190409,1208.557972,1208.665043,1205.296446,2219.463958,5930.405946,5941.39818,8300.474971,6864.145483,2053.420777,2056.789374,2721.202179,2360.253516,55587.48354
136769.9847,52493.49354,55872.44158,49996.77679,49943.1075,2379.801441,2746.864408,2062.420069,2059.101493,10911.44624,5664.915782,5718.585066,4729.100011,4718.282712,13476.40669,2227.666529,1210.805957,1214.124533,1214.230317,1210.910743,2225.743586,5940.375308,5951.192606,8330.753566,6884.610953,2059.980306,2063.29988,2734.282268,2370.321428,55648.81466
136627.1439,52576.74444,55948.53097,50095.00217,50046.87241,2392.5966,2760.721482,2072.432644,2069.450466,10959.02852,5671.338683,5719.468442,4733.796051,4724.100853,13510.2993,2239.093307,1214.931822,1217.914,1218.037536,1215.054312,2236.835282,5953.575651,5963.270849,8336.33674,6893.611287,2070.48036,2073.463585,2746.087235,2381.56547,55401.47777
136680.6199,52522.03614,55891.19282,50058.18728,50005.44658,2384.93251,2750.519118,2071.869508,2068.606319,10954.46254,5674.989827,5727.73053,4739.652995,4729.033638,13498.93504,2235.461616,1215.088166,1218.351354,1218.456238,1215.192078,2233.551459,5957.057266,5967.676623,8325.585627,6887.192088,2069.480253,2072.744413,2738.075939,2375.551115,55484.82714
136754.5804,52464.21654,55825.52477,49950.31899,49901.59958,2377.468026,2742.027157,2059.47727,2056.470349,10929.2726,5654.407,5703.126408,4719.935211,4710.125035,13506.06548,2227.681791,1207.519726,1210.526647,1210.636239,1207.628373,2225.665727,5938.747891,5948.558067,8318.871876,6881.599524,2057.388239,2060.396105,2728.887817,2367.547736,55666.83284
136756.8792,52596.00937,55963.21654,50069.82991,50020.42386,2401.702798,2770.860067,2073.566813,2070.49918,10953.32826,5672.04043,5721.44648,4738.319256,4728.3494,13527.34564,2242.932275,1216.465471,1219.533105,1219.665238,1216.59645,2240.506626,5954.335438,5964.305294,8359.374036,6914.865521,2071.605482,2074.67427,2755.133637,2389.832859,55517.56709
136482.7648,52376.21671,55760.2449,50038.0928,49981.47215,2361.415835,2727.079434,2058.894387,2055.41528,10956.64494,5660.386131,5717.006781,4722.186267,4710.824758,13411.28312,2216.94488,1206.369241,1209.848347,1209.952571,1206.472441,2215.066009,5940.988385,5952.349894,8285.432942,6842.52138,2056.272212,2059.752343,2714.788962,2352.183202,55418.80236
136997.1943,52565.83555,55908.4433,49999.39233,49955.29379,2411.485748,2779.280971,2077.302702,2074.556377,10956.84309,5677.891407,5721.989947,4749.188452,4740.257468,13548.50571,2247.400507,1218.780619,1221.526943,1221.667336,1218.919907,2244.800603,5969.59811,5978.529095,8379.046984,6942.49319,2075.741366,2078.488795,2762.442786,2398.749359,55762.73735
136909.8038,52628.46983,55947.88564,50072.76152,50031.54314,2402.790011,2764.209029,2084.383585,2081.813342,10924.94564,5689.926993,5731.14537,4761.650407,4753.299425,13531.71298,2246.344717,1223.011321,1225.581564,1225.690764,1223.119718,2244.334888,5984.411672,5992.762654,8340.576567,6923.893282,2082.736579,2085.307625,2751.166597,2392.919989,55634.03635
136792.2154,52665.50936,56032.58881,50075.13107,50029.65754,2403.000037,2769.864024,2079.19866,2076.37079,10958.33325,5677.715476,5723.189011,4739.840686,4730.667904,13596.78697,2252.184746,1219.473309,1222.301179,1222.408234,1219.579499,2250.210757,5960.087464,5969.260247,8356.968429,6916.956605,2077.27296,2080.101695,2757.0955,2393.346544,55492.13068
