beta,epsilon,Tbeta,Tepsilon,Tec,Tnw,Tecnw,twoNb,twoNe,twoNw,twoNec,twoNnw,twoNecnw,twoNbecnw
0.00603518,0.21402,20417.9,669.205,1338.41,4563.02,39497.5,2.21E+06,292816,927800,291883,161827,31659.2,75353.2
0.00636135,0.21477,20134.8,403.444,806.888,4718.28,39462.7,2.10E+06,300705,923778,295885,161220,31731.6,75416.2
0.00706586,0.209025,20645.5,915.181,1830.36,4738.47,39460.6,2.07E+06,313221,904875,290488,160020,31617.2,75896.4
0.00607338,0.213126,20285.7,537.606,1075.21,4707.66,39496.2,2.27E+06,292024,880264,295762,161406,31738.3,75599
0.00570951,0.213749,20601.8,848.926,1697.85,4302,39505.8,2.21E+06,298841,959407,288070,164412,31816.9,75453.4
0.00615268,0.213617,20260.2,504.79,1009.58,4788.93,39510.9,2.21E+06,289343,880896,295433,159644,31589.7,75466.4
0.00632902,0.210136,20848.9,1113.6,2227.2,4477.63,39470.6,2.16E+06,311210,927731,286465,161771,31655.7,75826
0.00618674,0.212962,20273.8,499.234,998.467,4825.95,39549.1,2.19E+06,290710,890128,294466,160342,31523.4,75298.7
0.00614893,0.213865,20361.4,599.397,1198.79,4855.62,39523.9,2.21E+06,296124,895687,294903,159927,31591.4,75471.8
0.00664521,0.2133,20472.3,684.092,1368.18,4741.08,39576.4,2.05E+06,318959,951882,290657,161221,31675.2,75395.4
0.00605452,0.213315,20302.9,534.033,1068.07,4685.8,39537.8,2.21E+06,288176,890008,294658,161408,31689.5,75426.4
0.00629891,0.212403,20450.6,697.917,1395.83,4647.84,39505.3,2.17E+06,297146,909564,291179,160679,31572.4,75436.8
0.00688729,0.212455,20469.6,698.335,1396.67,4812.6,39542.5,1.98E+06,298331,935407,291677,160316,31685.3,75553.7
0.00594665,0.215807,20032.7,268.312,536.623,4851.49,39528.7,2.20E+06,301124,925994,295813,161297,31599.8,75119.7
0.00721139,0.211018,20527.6,813.929,1627.86,4690.84,39427.3,1.93E+06,331847,979927,289413,160639,31726.2,75828.9
0.00626789,0.21076,20766.2,1025.04,2050.08,4422.63,39482.3,2.16E+06,302788,919746,288500,163320,31761.9,75739
0.00629451,0.211296,20683.8,881.99,1763.98,4537.64,39603.7,2.22E+06,303283,899193,290111,161107,31709.5,75615.6
0.00570682,0.21413,20480.3,703.552,1407.1,4612.45,39553.5,2.19E+06,296365,945367,291063,162551,31636.6,75274.7
0.00616411,0.215884,20236.6,442.702,885.404,4694.79,39587.8,2.18E+06,301842,938059,294883,160495,31616.4,75073.6
0.005787,0.212957,20353.1,593.861,1187.72,4756.17,39518.5,2.23E+06,296396,910573,292805,162528,31733.9,75529.6
0.00675061,0.2126,20287.1,578.534,1157.07,4797.05,39417.2,2.06E+06,308934,906112,296563,159573,31652.1,75658.1
0.00644426,0.214281,20537.8,773.706,1547.41,4618.79,39528.3,2.08E+06,313517,956277,288680,162476,31758.1,75489.5
0.00650031,0.213201,20269.7,515.581,1031.16,4749.93,39508.1,2.14E+06,296616,905136,292966,159775,31556.9,75396.5
0.00622017,0.212582,20474.8,715.608,1431.22,4735.1,39518.5,2.20E+06,299935,904395,291877,162429,31714.7,75576.2
0.00645356,0.212849,20517.3,761.577,1523.15,4658.82,39511.4,2.13E+06,301938,910496,291155,160203,31536.8,75419.1
0.00539112,0.212576,20673.6,969.46,1938.92,4074.49,39408.3,2.28E+06,275462,903508,289587,164880,31884.7,75709.8
0.00679451,0.212559,20679.9,951.381,1902.76,4652.66,39457.1,2.05E+06,322880,990183,286862,161098,31516.9,75482.9
0.00615343,0.213064,20483.2,733.807,1467.61,4615.3,39498.9,2.19E+06,294213,913083,291741,160864,31507.3,75342.4
0.00628393,0.217315,20175.9,442.886,885.772,4667.64,39466,2.11E+06,307949,945126,296414,160315,31653.4,75202.2
0.00639869,0.21288,20333.7,552.645,1105.29,4836.91,39562.1,2.16E+06,291746,881126,297993,160140,31659.3,75451.6
0.00619722,0.21178,20781.4,987.666,1975.33,4592.17,39587.5,2.19E+06,311215,931021,287637,162865,31620.6,75440.4
0.00556195,0.211926,20457.2,716.1,1432.2,4573.53,39482.2,2.40E+06,275633,832991,292695,160199,31483.6,75511.2
