b,e,c,n,w,be,bc,bn,bw,ec,en,ew,cn,cw,nw,bec,ben,bew,bcn,bcw,bnw,ecn,ecw,enw,cnw,becn,becw,benw,bcnw,ecnw
138370.2161,54695.80839,55716.16596,49207.37841,52190.35547,2535.749313,2602.302032,1997.294002,2264.054947,10716.87098,6287.793683,4662.346944,5266.747473,4874.791004,13886.9617,2312.720632,1290.189953,1223.535676,1223.535676,1290.189953,2312.720632,6554.880672,5589.30682,7515.000965,7303.245539,2264.054947,1997.294002,2602.302032,2535.749313,56574.05419
138237.9515,54572.71638,55591.06823,49085.64725,52111.35672,2518.937419,2584.800607,1986.685626,2256.166189,10757.53974,6276.570687,4638.842908,5257.623598,4849.414995,13928.36144,2305.153734,1281.27256,1215.32207,1215.32207,1281.27256,2305.153734,6552.426687,5572.653593,7480.097176,7270.120328,2256.166189,1986.685626,2584.800607,2518.937419,56535.44259
138674.5117,54666.00966,55681.62062,49134.45707,52059.23868,2544.662934,2611.153643,2000.091821,2262.078449,10789.86318,6255.109425,4653.431954,5239.340622,4865.162521,14002.52354,2330.031002,1287.979522,1221.465412,1221.465412,1287.979522,2330.031002,6547.31992,5598.393886,7542.950175,7331.377449,2262.078449,2000.091821,2611.153643,2544.662934,56878.89629
138537.3185,54621.15573,55695.41034,49243.07564,52293.37804,2542.706907,2612.935475,2014.506457,2287.498371,10822.14961,6349.588822,4669.15697,5274.238377,4892.97881,13918.95002,2329.900338,1299.475387,1229.084467,1229.084467,1299.475387,2329.900338,6611.958834,5623.347854,7522.272129,7299.546129,2287.498371,2014.506457,2612.935475,2542.706907,56633.79595
138110.1771,54601.81257,55600.11112,49175.65896,52176.79882,2525.188619,2589.76962,1999.759948,2267.489252,10774.84468,6282.690534,4665.336695,5283.439812,4871.929033,13908.84191,2308.258706,1287.527692,1222.806861,1222.806861,1287.527692,2308.258706,6573.613711,5601.338468,7481.031891,7275.391724,2267.489252,1999.759948,2589.76962,2525.188619,56330.30923
138366.8308,54544.71465,55559.50963,49133.14639,52060.12862,2522.019151,2587.802815,1995.894124,2256.046707,10773.91246,6256.244653,4653.189342,5240.912064,4863.64775,13918.3097,2308.877211,1283.096818,1217.234136,1217.234136,1283.096818,2308.877211,6549.759942,5603.09734,7492.466433,7282.545635,2256.046707,1995.894124,2587.802815,2522.019151,56664.4169
138627.4991,54733.69227,55731.49784,49181.57545,52195.78101,2550.089451,2615.491856,2003.072051,2274.986214,10774.53468,6283.33191,4664.13226,5285.238477,4872.033047,13968.79481,2330.256294,1293.285949,1227.840903,1227.840903,1293.285949,2330.256294,6575.450273,5593.649795,7538.01319,7330.400273,2274.986214,2003.072051,2615.491856,2550.089451,56759.71745
138037.398,54543.96785,55507.24729,49045.6063,52029.09347,2506.990221,2568.857777,1978.188494,2243.430566,10740.20212,6224.811284,4635.304315,5261.021875,4833.590265,13921.84379,2292.288534,1272.956336,1211.014443,1211.014443,1272.956336,2292.288534,6529.332249,5562.783659,7451.561962,7253.785978,2243.430566,1978.188494,2568.857777,2506.990221,56423.16096
138457.1148,54649.14086,55670.15696,49166.10886,52172.72562,2526.015647,2592.419536,1988.663927,2257.631141,10767.48265,6261.075766,4628.58702,5239.01751,4840.879241,13929.54443,2315.147544,1281.974947,1215.417185,1215.417185,1281.974947,2315.147544,6546.182287,5570.192549,7491.982338,7280.732276,2257.631141,1988.663927,2592.419536,2526.015647,56719.74122
138337.5633,54645.04084,55694.82769,49195.68173,52197.27201,2537.325666,2605.725852,2004.351641,2272.212429,10810.01736,6304.078291,4654.958703,5253.924098,4872.682726,13966.40496,2325.388277,1291.449066,1222.99456,1222.99456,1291.449066,2325.388277,6573.826333,5602.597016,7513.959818,7296.603132,2272.212429,2004.351641,2605.725852,2537.325666,56492.53247
138318.4627,54623.38919,55667.06638,49202.1255,52237.76934,2528.521554,2596.361614,1998.84936,2269.766864,10780.05824,6306.189184,4649.695624,5262.071851,4865.86176,13904.19669,2315.187778,1289.164652,1221.259687,1221.259687,1289.164652,2315.187778,6575.271833,5592.33164,7492.806657,7277.080658,2269.766864,1998.84936,2596.361614,2528.521554,56517.83181
138570.4669,54616.39622,55654.29359,49139.25653,52172.12873,2531.14857,2598.795947,1993.717328,2265.334117,10805.75274,6282.652674,4631.976184,5244.244617,4847.557358,13961.46221,2323.198972,1285.214814,1217.492161,1217.492161,1285.214814,2323.198972,6565.615058,5580.106607,7504.338885,7289.268398,2265.334117,1993.717328,2598.795947,2531.14857,56798.53048
138496.4509,54814.9578,55838.14813,49303.04668,52321.69355,2551.758826,2618.894155,2006.016627,2278.089287,10796.7855,6288.753394,4651.60871,5264.84669,4864.895188,13966.74238,2336.812641,1294.423378,1227.181372,1227.181372,1294.423378,2336.812641,6571.079678,5589.528995,7530.815352,7318.245254,2278.089287,2006.016627,2618.894155,2551.758826,56566.09775
138338.2356,54523.86276,55544.0344,49135.04956,52121.26948,2517.492048,2583.522868,1994.25912,2259.995589,10773.01746,6275.36418,4649.625688,5254.352453,4861.058183,13887.51661,2305.140049,1283.404605,1217.250379,1217.250379,1283.404605,2305.140049,6564.61116,5597.424009,7477.603691,7267.011282,2259.995589,1994.25912,2583.522868,2517.492048,56637.79127
138674.3378,54681.34208,55705.88257,49192.46221,52156.61437,2548.067302,2615.266231,2006.333274,2272.348113,10768.02146,6290.771658,4670.258009,5265.887724,4884.192635,13939.02646,2328.086259,1294.442783,1227.192893,1227.192893,1294.442783,2328.086259,6571.269344,5609.325932,7545.162267,7331.571086,2272.348113,2006.333274,2615.266231,2548.067302,56829.92391
138580.8576,54673.64099,55707.63109,49255.4139,52277.53283,2539.774941,2607.388075,2006.093047,2277.469069,10779.37794,6306.279068,4660.541231,5270.896462,4876.508782,13892.19074,2323.980228,1294.14541,1226.325673,1226.325673,1294.14541,2323.980228,6587.189903,5605.196489,7514.830602,7300.255559,2277.469069,2006.093047,2607.388075,2539.774941,56728.97782
138472.5988,54821.93871,55844.95103,49306.49486,52306.65397,2555.746022,2622.832956,2011.667716,2281.893998,10814.56696,6291.404175,4660.045614,5267.445161,4873.284325,13999.93887,2340.847953,1296.818845,1229.590971,1229.590971,1296.818845,2340.847953,6576.500082,5601.860367,7536.824786,7324.532761,2281.893998,2011.667716,2622.832956,2555.746022,56508.85661
