b,e,c,n,w,be,bc,bn,bw,ec,en,ew,cn,cw,nw,bec,ben,bew,bcn,bcw,bnw,ecn,ecw,enw,cnw,becn,becw,benw,bcnw,ecnw
133438.5202,53090.57312,56451.52493,50475.35319,50432.80325,2349.122812,2717.29144,2053.799615,2051.055458,10769.46599,5645.414995,5687.964928,4723.608923,4714.683945,13448.8535,2241.16682,1205.469379,1208.213536,1208.28723,1205.542498,2239.85745,5876.696407,5885.621385,8261.968038,6793.889139,2051.66429,2054.409022,2708.989868,2342.888565,52039.53757
133485.7086,53270.79121,56754.44303,50635.62685,50602.49764,2337.77836,2716.375398,2065.372887,2063.208522,10602.51839,5702.360681,5735.489887,4735.974333,4728.965959,13386.99349,2239.564574,1215.903662,1218.068028,1218.109443,1215.944836,2238.872857,5889.04126,5896.049634,8262.468546,6750.496739,2063.534484,2065.699092,2711.961943,2334.512576,51979.38551
134614.0239,52988.06773,56494.40043,49943.96016,49914.56057,2365.134859,2752.604808,2026.672727,2024.77506,10724.0096,5606.951712,5636.351298,4643.493428,4637.315503,13755.95854,2257.026828,1188.233382,1190.131049,1190.238418,1188.340162,2255.056646,5822.75167,5828.929595,8393.106663,6845.975424,2025.664219,2027.562474,2740.249573,2355.858097,53407.40152
134266.1196,53008.70315,56422.14229,50155.96847,50111.12666,2386.974643,2771.360687,2031.269425,2028.385612,10712.77206,5608.658309,5653.500124,4681.615825,4672.207279,13525.07285,2236.842313,1192.637959,1195.521772,1195.688316,1192.803116,2233.790331,5836.50201,5845.910555,8387.12683,6876.933343,2029.769773,2032.654972,2752.169101,2372.541038,53038.7851
133565.9316,53293.78136,56602.85918,50629.10923,50586.45231,2398.014657,2763.133748,2095.66842,2092.878977,10775.65805,5726.61691,5769.27383,4818.214679,4809.195214,13472.54175,2268.008811,1234.906667,1237.69611,1237.764471,1234.974492,2266.805979,5950.961658,5959.981123,8328.902981,6886.286356,2093.449679,2096.239657,2755.498351,2392.262721,51844.24453
133342.3575,53092.75842,56459.06733,50414.46681,50380.77354,2326.284445,2693.018531,2032.917534,2030.75674,10790.1528,5576.161624,5609.854894,4646.262694,4639.227204,13543.84258,2239.357097,1185.775462,1187.936256,1188.012721,1185.851445,2237.952532,5833.718502,5840.753993,8205.595882,6737.501543,2031.396708,2033.557984,2684.273957,2319.699476,52081.57041
133588.4615,52408.57294,55777.97137,50244.99024,50191.72533,2249.710344,2611.171783,2007.259912,2003.882585,10773.18765,5566.975153,5620.240055,4647.387995,4636.231504,13143.18496,2178.034214,1169.668905,1173.046232,1173.081491,1169.703828,2177.419211,5847.117394,5858.273885,8095.395512,6628.508527,2004.163289,2007.540952,2607.221291,2246.773939,52807.99169
133046.2164,52604.4191,56135.79501,50193.41607,50140.63917,2277.990482,2660.307251,2000.219462,1996.888338,10743.48967,5598.246599,5651.023502,4635.382658,4624.429952,13318.47908,2189.393435,1171.522934,1174.854057,1174.933323,1171.601466,2188.03523,5793.280294,5804.233,8208.570176,6664.22002,1997.50758,2000.839436,2651.599666,2271.556839,52106.49601
132821.2068,52964.27286,56354.50002,50181.43542,50138.08237,2344.488422,2715.495262,2017.973102,2015.233972,10861.85838,5583.1705,5626.523546,4655.597554,4646.64918,13642.92548,2234.352036,1181.693669,1184.432798,1184.542126,1181.802111,2232.317998,5797.29185,5806.240224,8277.528256,6791.420345,2016.159282,2018.899297,2702.752091,2334.855542,51586.5413
134216.8544,52532.2851,56127.74478,50081.39136,50043.16101,2284.202968,2672.425856,2025.03175,2022.569472,10646.253,5668.396028,5706.626378,4677.103322,4669.022518,13317.16729,2203.037054,1187.59412,1190.056398,1190.110387,1187.647754,2202.145092,5866.224255,5874.305058,8257.481855,6689.268797,2022.979332,2025.441965,2666.670477,2279.989917,53245.20296
132527.15,52876.92995,56156.56067,50121.62081,50099.65947,2293.555691,2640.709857,2015.254791,2013.862654,10718.72158,5588.72433,5610.685673,4667.318824,4662.740543,13547.13207,2207.531063,1177.135657,1178.527794,1178.573787,1177.181458,2206.677215,5831.404175,5835.982457,8123.183876,6711.513791,2014.256203,2015.648532,2635.34741,2289.491454,51463.26915
133665.5336,52947.34354,56282.31118,50297.81573,50249.22076,2326.817025,2692.003259,2022.099297,2018.990476,10674.23381,5593.500165,5642.095135,4685.781079,4675.600792,13350.32088,2210.579304,1188.55792,1191.666741,1191.740651,1188.631164,2209.252291,5827.98301,5838.163297,8239.206682,6776.197633,2019.604053,2022.713539,2683.483379,2320.404838,52546.12989
133138.9997,53002.04914,56271.06511,50256.71816,50225.06643,2335.444886,2688.726098,2038.140668,2036.117668,10822.86373,5597.612921,5629.264655,4691.686279,4685.077149,13593.68165,2239.182609,1191.270624,1193.293625,1193.357548,1191.334161,2237.982796,5858.781028,5865.390158,8205.712861,6784.881307,2036.669962,2038.693348,2681.212687,2329.733741,51872.71793
132826.6551,53129.87107,56564.39924,50544.51492,50488.07966,2359.125728,2737.263213,2051.10166,2047.489042,10799.36434,5666.351315,5722.786579,4734.16403,4722.43126,13440.53637,2237.972964,1207.789606,1211.402224,1211.478562,1207.865172,2236.645323,5849.799673,5861.532443,8306.804737,6802.531851,2048.108698,2051.722088,2728.80678,2352.804715,51334.79263
132688.6695,53147.01796,56513.23218,50527.10701,50491.59165,2351.993726,2717.114124,2065.571924,2063.276421,10626.84011,5728.825985,5764.341345,4792.997852,4785.518436,13343.72212,2221.494071,1218.59741,1220.892913,1220.96284,1218.666894,2220.305334,5907.782949,5915.262364,8250.627617,6796.996082,2063.842068,2066.138014,2709.508798,2346.317342,51200.18606
134696.8449,53517.9034,56916.27067,50647.55462,50609.12075,2412.446221,2792.798918,2094.190519,2091.652685,10952.42902,5614.395513,5652.829379,4685.749154,4677.628905,13844.98451,2329.777475,1218.318878,1220.856712,1220.93411,1218.395709,2328.318604,5913.207808,5921.328056,8371.770681,6874.943588,2092.314031,2094.852432,2783.947865,2405.747594,52905.01914
132740.4842,53292.59261,56706.76651,50443.34923,50409.70748,2380.077065,2752.144154,2069.266437,2067.101323,10925.95722,5667.70689,5701.348641,4722.733829,4715.742087,13808.56959,2284.130884,1211.796987,1213.962101,1214.028652,1211.863123,2282.913659,5872.713031,5879.704773,8317.917555,6832.347671,2067.664275,2069.829804,2744.618209,2374.394028,51054.25488
133265.2074,53208.64561,56555.83668,50567.01161,50519.00545,2372.47485,2743.171603,2058.115581,2055.024316,10812.11484,5642.005424,5690.011587,4729.723837,4719.696321,13476.60028,2250.31068,1209.048511,1212.139776,1212.24451,1209.152319,2248.428665,5868.378466,5878.405982,8295.182988,6827.447738,2055.898637,2058.990828,2731.286183,2363.521921,51760.1214
