b,e,c,n,w,be,bc,bn,bw,ec,en,ew,cn,cw,nw,bec,ben,bew,bcn,bcw,bnw,ecn,ecw,enw,cnw,becn,becw,benw,bcnw,ecnw
234394.7366,89071.72636,95868.44772,89962.10572,82108.60423,3993.724888,4494.869162,3217.927938,3147.912838,18831.1189,11539.91582,8418.172618,10463.94626,7623.786025,23460.30587,3737.640251,1875.89837,1657.472515,1915.971586,1739.092252,2981.855084,8923.111289,6832.864148,12015.93918,10134.62914,5307.352374,4567.883768,5584.804971,5126.464766,87855.15896
234461.144,89049.97396,96007.34597,89845.90389,82172.07843,3839.514819,4326.872501,3085.603854,3382.824486,18452.48652,11707.78586,8323.010863,10353.65039,7604.03979,23171.38592,3578.031554,1807.230116,1669.701498,1849.37294,1889.041897,3015.689812,8947.106032,6578.811643,11912.75147,10070.18254,5365.415236,4615.638684,5737.686714,5238.247397,87030.40523
235739.188,88972.59198,95755.34389,89012.95948,81109.89502,4059.645411,4493.879249,3195.085559,3215.849518,18763.64917,11397.27715,8340.088484,10249.95024,7517.702808,23961.02537,3794.976063,1824.490344,1658.229674,1856.96057,1730.227114,2966.017426,8765.563404,6790.210428,12221.9481,10213.86125,5188.971507,4572.768402,5669.080695,5117.083326,90224.03979
235876.858,88890.47097,95922.35918,89528.75327,81618.79741,4042.90875,4542.473958,3195.503314,3115.776082,18759.69507,11313.69881,8361.214695,10415.27552,7529.949048,23607.29263,3688.062494,1833.004577,1626.54802,1868.564294,1698.854993,2983.499715,8833.697988,6770.252022,12216.41137,10237.69843,5132.580119,4643.5915,5816.445444,5283.711009,89733.00198
233083.7018,88898.15403,95779.93215,90397.19409,81990.60253,4161.494097,4611.247484,3208.413839,3286.314774,18739.2838,11607.14848,8557.849534,10541.02028,7655.227147,23387.08469,3751.239696,1838.29276,1702.321854,1943.588614,1828.715521,2965.459837,9088.563972,6930.894671,12261.94135,10372.72894,5303.073177,4650.006851,5500.036785,5145.574722,87227.90401
234104.233,89002.09422,95865.11275,90004.54896,81897.92424,3958.464749,4514.345277,3303.142527,2954.352603,18727.31491,11417.95928,8330.834967,10268.0755,7519.771082,23628.44164,3865.295511,1842.370764,1560.195001,1913.534665,1640.35877,2845.178428,8726.737394,6835.987851,11975.28173,10153.95717,5390.226486,4629.305104,5509.334783,4955.622471,87797.89636
236549.3761,89236.28554,95766.39185,90199.36567,82187.60105,3838.890182,4370.338346,3203.273964,3127.499901,19002.16996,11574.28977,8344.358925,10435.24653,7594.251387,22915.56373,3578.477925,1809.799997,1632.133268,1870.346228,1755.370326,2981.276312,8953.706447,6911.611243,11844.94428,9767.554477,5090.709929,4421.48518,5440.261698,5099.97902,89786.9691
235121.2571,88931.14865,95850.26158,90220.88858,82046.0378,3796.17789,4552.345416,3112.266655,3099.969948,18878.36547,11575.72134,8330.228745,10403.17861,7460.138962,23313.27048,3570.209821,1758.232211,1629.850085,1873.767428,1751.081119,2940.528303,8783.424189,6790.680606,12076.49218,9872.06867,5030.596908,4580.26666,5525.814238,5042.946431,88260.35449
233569.2124,89100.9026,95906.18826,89804.71138,81785.45534,4036.157947,4503.008039,3143.647161,3062.897692,19007.55134,11391.12509,8364.301138,10279.42361,7588.024731,23693.08192,3715.025126,1878.59507,1568.106952,1853.046718,1734.477564,3029.178397,8819.314721,6705.735328,12068.04502,10114.89698,5079.031883,4442.464448,5546.763653,5147.998159,87008.08992
236535.675,88769.90244,95643.77199,89554.11129,82150.4893,3940.934083,4582.215937,3228.242503,3076.042939,18665.31574,11448.86041,8639.623242,10381.24568,7597.952745,23397.00057,3708.789908,1909.598382,1606.758485,1987.621889,1683.522426,2834.104303,8890.813676,6894.562921,12149.75859,9977.258558,5420.640543,4400.704104,5548.494783,4939.23331,90396.11426
233536.9612,89019.39973,95831.50778,89748.245,81922.66134,3917.95759,4266.862003,3079.303454,3100.335073,18876.70354,11426.63885,8384.51526,10344.8709,7619.130036,23687.97151,3699.838661,1822.751414,1641.671219,1860.033999,1703.585982,2996.96814,8831.741702,6828.123752,11775.78576,10196.63006,5218.951153,4514.304325,5432.987804,5062.172209,87037.66501
234771.1151,89109.8338,95698.78893,89959.27552,81528.6831,3961.625745,4431.523574,3272.757468,2952.037351,18692.38633,11502.96608,8322.185233,10365.26941,7613.751827,23238.01675,3674.703863,1905.371628,1551.551278,1958.669463,1677.772631,2910.673157,8573.374091,6876.507963,12070.25317,10121.29819,5375.819441,4552.75898,5474.050036,5162.249044,88846.33774
235153.4193,89365.16074,96070.96144,89444.78123,82236.82003,4005.19227,4414.684503,3230.372805,3226.450032,19030.22654,11522.13091,8313.416708,10334.39264,7674.090593,23655.29786,3706.81615,1832.89219,1600.307532,1885.12462,1750.555927,3061.936614,8898.826017,6843.441936,11870.32358,10169.9942,5229.881112,4435.030459,5568.600596,5204.455468,87691.03087
233035.4687,89673.20521,95994.88951,90158.19511,82024.6945,3874.484467,4530.985608,3112.325348,3314.673389,18891.12725,11586.18275,8404.391907,10481.46525,7508.660883,23327.28441,3563.923283,1763.185231,1673.244852,1890.387132,1756.542036,3028.064425,9010.498391,6731.13952,12054.24259,10137.76227,5064.673998,4666.525194,5771.749041,5345.325688,86761.47256
232699.5589,89440.8015,96044.03057,90460.06014,81868.47695,3994.279735,4634.254668,3520.096509,3095.596644,18585.02139,11601.47012,8540.833544,10371.0256,7732.551874,23387.15151,3636.51768,1942.147009,1597.853893,1987.692505,1757.43012,2812.600716,8778.763715,7106.255637,12164.54898,10204.7099,5297.109077,4617.52523,5442.535272,5023.004898,86715.89692
235450.9816,89066.82274,96119.11391,89948.36816,81561.36234,4136.551716,4500.386322,3270.152544,3057.934762,18954.8354,11282.10368,8338.086207,10410.53998,7535.266187,23946.00012,3897.28301,1916.586381,1705.381349,1932.100899,1715.199017,3109.949017,8799.139538,6759.99629,11958.69029,10103.6521,5287.961214,4717.779028,5837.307254,5289.08673,88686.82004
233403.4331,89251.39202,96027.6509,89525.49175,82111.49843,4000.034418,4474.298865,3153.014827,3104.896162,19007.04989,11470.38549,8417.818599,10390.7339,7654.652977,23912.6147,3753.38437,1893.513384,1655.568281,1921.648293,1761.983918,3111.857137,8886.036552,6779.053738,12067.18503,10205.16363,5408.096854,4538.130815,5744.345075,5264.479158,85786.80206
233059.3733,89182.44752,95836.51833,90394.80792,81815.14665,4017.289599,4614.667429,3320.949397,3017.357306,18797.23066,11399.04722,8527.375299,10442.4716,7677.867116,23512.952,3791.36068,1928.985431,1634.221831,1951.306138,1669.030741,2934.88641,8621.474897,6889.817659,12144.96786,10142.6091,5337.728162,4587.557043,5471.151685,5120.28775,87637.04408
235164.1131,88945.7993,95786.68163,89963.27082,81865.71829,4040.238937,4460.464847,3142.908806,3064.90153,18650.24662,11270.47191,8415.039112,10355.89268,7575.198501,23585.73293,3587.773231,1810.800603,1543.681255,1809.18506,1646.356638,2750.763321,8784.524975,6653.312182,12088.56444,10252.34905,4993.650568,4520.520293,5409.931185,4863.352498,87795.8388
235080.0966,88863.7162,95703.39577,89715.13969,82131.8097,3965.142612,4584.433269,3307.208887,3078.94847,18884.91757,11588.44286,8516.884418,10332.57519,7665.547564,23285.51546,3651.783719,1891.418919,1591.093168,2002.95237,1786.060797,3033.623006,8938.740906,6990.942531,12157.46178,10014.27454,5367.76467,4739.544749,5774.53717,5200.281428,87880.4836
236096.6835,89243.91766,95686.35028,89768.48097,81986.84248,4003.069166,4297.430369,3248.096879,3050.311785,18794.3386,11480.62495,8337.850335,10268.53642,7752.972309,23592.03023,3846.306748,1971.487559,1632.916087,1884.912626,1760.920784,3017.023465,8873.931067,6990.248108,11819.02854,10200.12414,5492.936313,4632.370412,5632.218688,5199.302362,89641.59733
234029.1861,88978.66625,95959.68036,89238.56627,81704.44004,4143.699874,4699.55986,3320.849391,2939.987901,18680.37363,11366.53596,8405.555697,10253.55428,7560.016244,23505.26125,3853.520713,1880.061909,1530.457245,1933.056084,1653.596977,2853.935287,8665.064033,6810.718172,12083.12414,10114.13102,5177.174372,4317.304684,5502.242607,4992.515936,87939.30738
231994.6792,88916.41214,95930.06004,90208.58627,82025.61669,4007.583165,4520.153768,3066.135868,3214.314381,18917.52076,11611.98961,8397.668001,10434.35565,7591.388155,23682.3986,4035.27426,1919.252821,1645.155782,1897.400207,1717.101899,2849.61975,9171.411417,6833.163129,12143.48562,10120.85426,5541.017639,4555.79079,5597.614455,4981.83519,85579.15497
235440.1957,89041.74946,96149.87699,89690.63816,81483.10287,4064.317786,4506.899824,3095.19426,3077.576705,18750.84425,11503.08239,8294.774232,10489.88162,7507.693157,23705.86909,3824.47028,1825.619101,1702.796,1811.969718,1728.852892,2922.93779,8896.036843,6667.135145,12081.30862,10142.38401,5093.732833,4547.580605,5602.575444,5011.858851,88983.09408
235226.3152,88959.30824,95292.74026,89665.06975,82715.6546,4032.534718,4687.711114,3358.079618,3091.083579,18686.74998,11437.15217,8465.94005,10409.0739,7584.495187,23610.94152,3977.057263,1916.635929,1604.08929,2000.053801,1702.477081,2976.359111,9045.615981,6715.149319,12088.92702,10145.50976,5561.754966,4532.681925,5504.720111,5074.446923,87611.98219
233617.626,89150.27364,96139.4593,90220.63815,81829.14887,3891.485226,4505.146075,3246.502865,3301.108849,19028.83794,11477.14741,8354.619258,10574.67271,7591.826266,23483.03041,3705.345347,1864.774017,1696.886497,1895.891352,1802.109974,2987.610631,9039.528001,6843.957236,12021.64019,9996.666299,5190.694858,4605.169623,5662.908391,5097.618752,85835.61172
233354.2322,89231.18579,95925.06023,89710.51063,81918.67306,4172.334604,4498.910639,3180.762474,3328.661854,18932.18662,11544.05233,8447.891015,10515.07546,7638.737368,23680.83315,3710.55321,1872.020212,1739.214205,1854.292768,1852.658546,3134.888573,9123.901274,6863.842367,12118.41146,10372.35161,5164.417505,4615.534921,5781.009267,5433.71453,88089.1696
234036.654,89060.41168,96014.0011,89723.83732,82140.89911,4012.343071,4675.752757,3256.714984,3096.520332,19119.1022,11679.1881,8447.581832,10493.92773,7625.814011,23728.5036,3956.699457,1821.001485,1639.767851,1951.484361,1789.752054,3104.012819,8885.31227,6905.40061,12197.02686,10191.34066,5396.227042,4677.973778,5583.358002,5214.98518,88249.96783
235211.8088,88981.56216,95651.24353,89804.83837,82168.89219,4174.049035,4581.143151,3304.147432,3095.064487,18802.82246,11509.359,8451.755948,10492.88577,7654.543374,23566.9029,3966.999885,1927.289584,1608.471327,1908.031746,1655.957992,2954.162137,8947.470177,6935.882392,12089.17479,10322.33742,5302.087445,4420.840573,5518.958939,5033.290956,89703.44929
235358.568,88897.05101,95792.22493,89696.82266,82385.32221,3855.228955,4522.004348,3087.608889,2910.908452,18934.59483,11493.81517,8390.314515,10383.17333,7534.407988,23925.73672,3656.770723,1789.433821,1641.202074,1842.424199,1737.222262,2956.162019,8684.285443,6669.247998,12266.21454,10103.06984,4994.069712,4678.834169,5619.323657,5038.529018,88695.7064
234995.3584,88998.80752,95544.1236,89311.08707,82135.20056,3952.116462,4547.851425,3207.753143,3124.31592,18710.21287,11466.79095,8475.723693,10374.40165,7641.065809,23304.0146,3612.960477,1887.541272,1615.813225,1951.409285,1720.89909,3002.72341,8918.673175,6907.328243,12254.86551,10159.46719,5349.23861,4478.156846,5702.15652,5314.825141,89554.94303
234789.4571,88689.29809,95829.53535,89516.55112,82330.39143,4043.256212,4486.945879,3215.582554,3038.805907,18823.40513,11548.51939,8343.377769,10409.41456,7641.413075,23599.76101,3814.819362,1911.77121,1650.610136,1859.815566,1682.971196,2872.822173,8779.032758,6783.202365,12170.30117,10251.27402,5322.735224,4535.301006,5617.572151,4926.45218,87847.34118
234832.4872,88766.09622,96011.64799,90169.9918,81974.74539,3984.838572,4387.745531,3267.995651,3283.612059,18717.75591,11516.96918,8463.589846,10490.08222,7504.867462,23602.37096,3778.562732,1856.675212,1726.452793,1949.579723,1818.547312,2978.492711,8979.089216,6819.069082,12075.8694,10124.4931,5375.166722,4680.710547,5590.766984,5085.791829,88760.96674
234453.1509,89187.96411,96051.55228,89425.669,81893.97849,3937.527758,4493.596785,3185.019853,3165.148965,18605.67657,11446.90377,8377.95618,10465.0671,7567.483159,23170.97543,3457.809795,1826.868528,1642.257589,1839.044424,1695.169567,3036.718995,8848.313519,6802.039706,12256.02138,10163.82397,5124.595229,4541.316878,5600.269794,5143.895544,88910.11477
235178.0144,88755.68368,96195.7526,89498.09338,82554.46992,3889.960131,4409.894874,3159.054892,3228.577921,18891.77103,11476.8924,8418.196572,10441.11029,7696.59781,23494.07684,3673.495142,1914.494148,1691.496241,1845.694942,1720.896204,2985.906019,9141.695299,6936.114428,12200.52701,10060.40411,5391.77136,4485.014872,5595.842672,4955.622751,88323.48682
234229.4827,89243.94766,96281.26925,89605.54554,82133.90571,3950.29605,4556.98293,3295.303148,3122.321777,19103.6187,11522.04314,8369.067809,10386.92055,7704.436917,23788.1316,3777.350969,1930.007047,1638.13397,1907.644248,1696.036915,3117.131056,8931.276685,6769.943488,12209.10513,10143.90568,5417.668651,4505.132921,5577.178064,5127.110407,87997.0049
234608.6905,89241.70337,96002.1154,90052.62785,82363.00039,4101.024094,4580.23949,3303.822536,3388.812497,18981.7573,11478.74315,8411.087637,10548.80602,7630.154155,23681.76773,3854.151535,1954.146475,1753.403258,2016.440683,1777.491442,3049.417021,9180.555191,6912.662248,12024.64344,10165.56215,5621.300767,4677.010593,5565.232327,5218.023754,87466.85362
