b,e,c,n,w,be,bc,bn,bw,ec,en,ew,cn,cw,nw,bec,ben,bew,bcn,bcw,bnw,ecn,ecw,enw,cnw,becn,becw,benw,bcnw,ecnw
134456.6888,52281.44425,55828.89249,49514.411,49463.01516,2242.829398,2607.680326,1971.146987,1967.993013,10549.11515,5616.598821,5667.994656,4632.498008,4622.043792,13453.36957,2154.996611,1165.280099,1168.434073,1168.438996,1165.284979,2154.912064,5763.558443,5774.012659,8190.387131,6672.834333,1968.032164,1971.186182,2607.106517,2242.402017,53891.43604
134248.0911,52557.01678,55852.65107,49543.9303,49499.73743,2286.820338,2627.507667,1988.001049,1985.28005,10669.64062,5575.334447,5619.527321,4659.700889,4650.708447,13667.93286,2189.673564,1172.805138,1175.526138,1175.547349,1172.826171,2189.273592,5786.226751,5795.219194,8184.285707,6772.437822,1985.465865,1988.187043,2624.850681,2284.787133,53484.06329
134424.7484,52543.96555,56149.14181,49686.63777,49637.04817,2277.712667,2652.518266,1994.494606,1991.422195,10589.54304,5656.614529,5706.204127,4657.930153,4647.832848,13564.61061,2186.739699,1181.476841,1184.549252,1184.549776,1181.477361,2186.730795,5779.72023,5789.817534,8268.545867,6720.408824,1991.426344,1994.498759,2652.458298,2277.668092,53559.19856
134434.7197,52317.75898,55674.50759,49575.9147,49535.58198,2229.797295,2573.13802,1967.431103,1964.954676,10548.68589,5557.230075,5597.562796,4617.944331,4609.709195,13400.06111,2147.727393,1157.645813,1160.122241,1160.127123,1157.650659,2147.639272,5774.214664,5782.449799,8082.872095,6653.107861,1964.995339,1967.471802,2572.546181,2229.3507,53974.23696
133538.5363,52278.02538,55675.26382,49530.29477,49492.86577,2229.242889,2570.905285,1972.6172,1970.344564,10530.52126,5623.010989,5660.439989,4660.229583,4652.660021,13424.92164,2135.596542,1164.019067,1166.291703,1166.294459,1164.021805,2135.548061,5787.092398,5794.66196,8075.2816,6648.517638,1970.367219,1972.639873,2570.57724,2228.996245,52998.2303
134574.4079,52321.59066,56089.30287,49593.251,49515.46601,2262.123816,2659.203445,1967.785498,1963.015942,10679.96184,5615.918962,5693.703953,4600.776801,4585.083147,13538.33993,2180.42682,1166.271411,1171.040967,1171.052699,1166.282989,2180.231274,5711.46316,5727.156814,8335.620647,6691.297414,1963.105549,1967.875259,2657.874454,2261.145505,53857.70918
133705.7654,51959.47024,55419.74138,49135.24474,49082.80658,2182.224255,2530.064072,1908.390464,1905.267127,10481.37786,5515.387169,5567.825337,4553.958451,4543.445665,13401.39789,2097.712131,1127.235356,1130.358692,1130.365614,1127.242212,2097.588299,5663.602466,5674.115252,8067.687387,6593.000107,1905.323842,1908.447244,2529.214503,2181.585442,53656.8029
135121.7394,52067.69768,55806.48301,49307.23682,49258.67879,2219.543794,2606.097967,1950.331981,1947.341912,10472.54386,5617.378811,5665.936836,4584.202018,4574.269525,13421.50323,2143.641826,1154.158254,1157.148323,1157.150559,1154.160472,2143.604962,5728.378379,5738.310872,8245.796347,6631.78333,1947.358775,1950.348862,2605.845988,2219.359154,54763.7436
134467.5283,52430.86854,55903.7438,49623.05488,49567.77246,2261.04739,2621.013642,1978.301962,1974.895961,10528.14115,5616.531654,5671.814078,4659.342092,4648.0713,13413.9425,2159.810104,1173.065859,1176.471859,1176.474087,1173.068065,2159.771569,5768.844947,5780.115739,8206.864484,6714.851211,1974.913997,1978.320019,2620.750915,2260.850586,53808.72354
134735.8698,52455.46197,55891.69324,49658.50245,49604.53791,2282.525907,2640.55626,1999.576751,1996.230151,10670.8667,5619.804473,5673.769013,4673.280075,4662.250327,13537.55795,2190.720293,1181.039637,1184.386238,1184.389393,1181.042762,2190.664271,5809.417501,5820.447249,8229.853553,6751.566329,1996.256222,1999.602853,2640.180599,2282.243004,53930.95193
134317.8789,52614.71067,56155.49344,49980.47692,49934.67218,2331.321406,2699.54435,2070.730483,2067.853006,10808.13022,5782.360755,5828.165498,4789.104896,4779.731069,13632.58364,2235.332786,1222.258095,1225.135572,1225.135737,1222.258259,2235.330013,5938.315731,5947.689559,8295.645534,6796.548038,2067.854319,2070.731798,2699.526038,2331.307786,52955.02056
133910.6887,52488.00567,56008.20152,49874.97738,49820.67175,2266.047418,2629.075772,2005.349447,2001.999241,10612.92099,5671.588778,5725.894409,4692.083319,4681.048984,13401.20222,2170.917288,1185.466212,1188.816418,1188.816603,1185.466395,2170.914177,5817.280363,5828.314698,8182.743532,6686.892823,2002.000702,2005.35091,2629.054816,2266.031841,53031.5937
133851.2716,52215.99827,55778.66587,49476.14111,49472.36643,2242.329909,2599.648332,2004.992181,2004.759832,10587.90818,5720.734434,5724.509116,4684.114761,4683.34522,13583.25432,2166.328762,1179.160895,1179.393244,1179.396051,1179.1637,2166.281354,5861.822819,5862.59236,8132.76824,6647.796966,2004.78188,2005.01423,2599.334111,2242.097323,53121.27698
133469.216,51639.6129,55276.07145,48807.53139,48748.99849,2169.749654,2530.816994,1897.111595,1893.673276,10523.90008,5563.264655,5621.797555,4551.643929,4540.028119,13507.84679,2088.578188,1122.2938,1125.732119,1125.738452,1122.300069,2088.468234,5648.93374,5660.549549,8122.836013,6579.559822,1893.723326,1897.161709,2530.053673,2169.18153,53515.6117
134838.8708,52539.44917,55917.13878,50020.1357,49970.96733,2309.431001,2662.662782,2055.960762,2052.864646,10840.03712,5681.57759,5730.745961,4742.202066,4732.075386,13519.75134,2226.945257,1206.535036,1209.631153,1209.632908,1206.536777,2226.914248,5928.6666,5938.79328,8206.830507,6767.133078,2052.879138,2055.97527,2662.459458,2309.278103,53696.62083
134942.3219,52641.45408,56203.59644,49847.79475,49785.06387,2311.374956,2688.615703,2018.639985,2014.707528,10648.61626,5671.517173,5734.248051,4699.235328,4686.370455,13528.34707,2209.654607,1196.88569,1200.818147,1200.835967,1196.903314,2209.351533,5820.226428,5833.091301,8326.519716,6783.981213,2014.849469,2018.782121,2686.574286,2309.853677,53905.5566
133583.368,51949.96411,55630.39711,49514.6916,49455.98902,2194.291352,2566.266145,1956.093936,1952.558021,10660.52088,5617.565304,5676.267881,4591.055993,4579.284553,13388.65232,2130.342444,1149.114262,1152.650177,1152.651829,1149.115897,2130.314862,5746.513087,5758.284527,8107.806379,6550.81311,1952.570568,1956.1065,2566.0794,2194.154228,53167.60071
134171.885,52394.33613,56057.33948,49454.40412,49390.93025,2262.991098,2641.767789,1965.996573,1962.11793,10500.70818,5651.529279,5715.003142,4646.203612,4633.381077,13530.33782,2158.311741,1170.848939,1174.727583,1174.733399,1170.854692,2158.214446,5723.997797,5736.820332,8292.795915,6716.5559,1962.163441,1966.042148,2641.09835,2262.494486,53492.87353
134543.4497,52744.10082,56369.39906,49895.07032,49839.07536,2319.433306,2701.529347,2028.096267,2024.591287,10718.78859,5693.485782,5749.480738,4696.21429,4684.798185,13673.50295,2227.776069,1200.957988,1204.462967,1204.465785,1200.960778,2227.728212,5821.170806,5832.586911,8343.905387,6780.473972,2024.613654,2028.118661,2701.210688,2319.196259,53346.49859
133536.22,51869.32077,55439.87643,49110.54419,49080.73675,2164.965437,2519.006884,1917.176069,1915.397363,10498.70111,5556.441452,5586.248895,4540.343295,4534.362553,13471.88298,2101.180317,1126.541166,1128.319872,1128.323856,1126.54513,2101.110555,5693.888441,5699.869183,8034.518549,6531.818254,1915.42895,1917.207677,2518.534324,2164.61406,53469.40552
133982.2889,52375.69848,55893.23185,49506.96045,49472.45422,2264.681798,2622.62186,1995.956452,1993.839229,10668.27756,5656.490295,5690.996533,4662.053117,4655.063349,13681.40119,2183.556606,1175.889786,1178.007009,1178.01315,1175.895889,2183.448372,5809.429661,5816.419429,8189.025461,6701.669726,1993.889326,1996.006587,2621.901113,2264.141538,53189.86796
133607.7262,52214.73511,55811.7256,49579.65953,49541.25208,2239.806566,2603.789666,1991.912734,1989.568437,10640.50869,5685.41075,5723.818205,4666.409367,4658.648378,13513.79021,2159.614239,1173.529309,1175.873606,1175.877229,1173.532908,2159.553281,5813.04772,5820.808709,8153.332394,6640.399612,1989.596729,1991.94105,2603.381024,2239.504202,52889.80313
134394.8321,52549.47715,56175.16249,49692.93328,49626.83772,2274.603512,2654.672715,1978.005241,1973.931084,10588.2658,5620.948479,5687.044037,4633.657554,4620.259319,13524.36716,2179.957683,1174.259379,1178.333535,1178.336544,1174.262353,2179.906577,5732.853248,5746.251483,8292.115073,6720.410415,1973.954843,1978.029034,2654.325695,2274.345471,53591.33678
132411.6568,52357.4687,55972.99639,49281.01211,49236.70559,2223.259043,2583.371744,1935.493318,1932.863422,10503.60594,5620.878382,5665.184909,4599.928465,4591.173032,13691.36786,2128.589461,1148.355962,1150.985858,1150.995588,1148.365617,2128.420304,5666.802746,5675.558179,8151.485915,6630.610259,1932.941977,1935.571948,2582.218461,2222.396135,51872.57814
134119.9975,52208.03697,55923.17388,49450.3644,49405.66355,2203.11124,2582.320058,1940.852502,1938.127164,10413.58828,5609.013663,5653.714517,4571.822275,4562.760707,13382.05296,2124.917606,1148.444689,1151.170027,1151.172104,1148.44675,2124.883435,5699.885423,5708.94699,8167.324025,6580.265947,1938.142871,1940.868225,2582.086816,2202.940224,53748.22989
