b,e,c,n,w,be,bc,bn,bw,ec,en,ew,cn,cw,nw,bec,ben,bew,bcn,bcw,bnw,ecn,ecw,enw,cnw,becn,becw,benw,bcnw,ecnw
258558.1304,96695.27381,105119.9181,97352.33043,89306.5342,4217.817261,4474.808341,3175.351091,3502.071585,20410.19429,12763.52693,8981.209317,11267.08268,8255.660352,25579.65803,3811.613324,1839.37704,1865.616788,1764.096831,1863.74682,3386.631538,10119.86374,7251.957839,13509.99391,11332.97929,5392.340538,4903.153389,6248.306339,5534.73596,100660.129
257614.2141,97155.07034,105200.2281,97447.41772,89311.75139,4355.95444,4377.130875,3125.109192,3560.955495,20730.72875,12690.96756,8968.591427,11343.07233,8278.898694,25909.31667,3727.675843,1850.04166,1936.08472,1779.644244,1880.292052,3482.971663,10122.14672,7189.646025,13367.66193,11584.90887,5503.627312,4982.531901,6414.591948,5686.811661,100130.1774
256875.0609,96928.56686,105523.642,97637.14924,89154.82257,4178.915824,4468.455997,3258.76912,3474.355088,20497.87225,12801.53175,8954.673772,11250.85911,8313.638028,25667.38644,3758.270742,1843.732143,1872.456571,1745.168074,1900.67441,3540.844999,9950.347995,7390.584199,13635.34744,11421.01858,5572.904531,4983.810787,6388.72436,5629.392202,100218.5532
258248.856,96553.3193,104558.4291,97537.77839,89696.26413,4324.86213,4446.362553,3199.395946,3453.939461,20225.88305,12599.54428,8919.774954,11257.07445,8158.765559,25487.48147,3910.782564,1860.476537,1794.920259,1762.816341,1777.575777,3345.157567,10156.23141,7200.733605,13355.12157,11368.74114,5650.709212,4751.802743,6078.631328,5398.384182,101053.4425
257287.338,97103.28086,105180.7497,97371.64989,89889.53764,4291.263447,4467.482535,3247.225756,3551.851524,20489.89491,12805.19635,8961.446813,11291.26989,8272.571414,25579.25778,3751.171328,1859.788149,1914.463842,1756.90831,1855.854786,3313.437825,10292.58744,7271.760956,13202.64426,11277.08575,5356.088129,4851.517171,6200.065493,5565.354743,99227.15636
257971.9495,96783.96457,105324.5279,97240.97728,89178.31319,4197.236983,4719.133453,3170.545557,3450.564532,20642.9796,12707.36296,9007.997692,11179.43235,8173.180466,25618.19299,3841.437749,1846.821549,1807.248539,1855.595474,1847.790488,3434.354191,10011.04953,7066.362107,13819.83642,11258.9396,5536.705442,4837.165568,6479.853579,5568.667726,100756.6526
259251.2416,96938.20434,105101.454,97658.61435,89230.1122,4105.759061,4341.338519,3115.421127,3264.394722,20481.85902,12677.85853,8895.097431,11276.02142,8250.121688,25585.73678,3667.8433,1812.468684,1811.857245,1738.582762,1812.640721,3411.944032,9998.067088,7085.71994,13319.97775,11233.87647,5290.112009,4776.181392,6184.705566,5583.286806,101422.7187
260077.216,96328.55607,105150.0173,97231.88245,89535.14788,4149.861923,4505.215583,3135.710643,3462.51202,20202.54192,12736.63372,9012.744908,11194.92208,8224.725842,25577.65237,3830.770005,1901.08629,1788.014379,1798.913995,1791.452932,3394.676501,9900.099731,7108.313346,13620.7014,11203.22338,5596.298718,4741.94618,6247.645765,5425.147251,102815.2944
257500.9674,96748.16383,105270.0167,97089.61137,89039.16597,4197.613122,4372.933936,3043.833672,3604.644275,20436.29625,12791.18309,8992.829398,11205.43498,8253.521696,25229.70361,3774.956571,1887.470578,1827.617317,1745.124041,1915.786575,3449.780596,10214.71437,7193.199374,13513.27296,11366.87874,5385.951818,4799.66309,6251.01303,5768.987616,100458.4783
258276.6785,96669.29173,104941.9267,97229.72021,89008.40332,4394.91113,4583.805542,3409.285827,3535.794386,20554.51237,12529.61262,8969.279033,11274.97322,8377.090158,25499.10993,3799.234093,1949.799734,1841.230973,1820.486018,1795.678853,3543.157792,10105.77693,7417.94639,13466.05095,11385.84601,5316.558151,4807.002845,6276.339854,5556.817729,100302.4204
