b,e,c,n,w,be,bc,bn,bw,ec,en,ew,cn,cw,nw,bec,ben,bew,bcn,bcw,bnw,ecn,ecw,enw,cnw,becn,becw,benw,bcnw,ecnw
135915.7035,53884.08302,53884.08302,49615.21203,49615.21203,2529.620029,2529.620029,2071.226521,2071.226521,10571.96495,5079.852565,5079.852565,5079.852565,5079.852565,13271.51414,2306.0938,1208.634635,1208.634635,1208.634635,1208.634635,2306.0938,6148.835291,6148.835291,7718.157089,7718.157089,2071.226521,2071.226521,2529.620029,2529.620029,55209.17888
135952.9715,53913.78269,53913.78269,49613.33653,49613.33653,2534.565959,2534.565959,2072.840713,2072.840713,10546.51363,5089.928326,5089.928326,5089.928326,5089.928326,13266.76959,2305.646675,1211.4432,1211.4432,1211.4432,1211.4432,2305.646675,6150.074921,6150.074921,7730.265125,7730.265125,2072.840713,2072.840713,2534.565959,2534.565959,55225.74994
136061.6763,53864.55623,53864.55623,49508.76999,49508.76999,2535.116426,2535.116426,2069.412702,2069.412702,10561.4522,5084.200491,5084.200491,5084.200491,5084.200491,13322.09481,2308.01087,1209.233052,1209.233052,1209.233052,1209.233052,2308.01087,6145.924205,6145.924205,7741.067836,7741.067836,2069.412702,2069.412702,2535.116426,2535.116426,55369.88586
135945.8021,53960.7968,53960.7968,49709.78608,49709.78608,2544.671516,2544.671516,2088.359459,2088.359459,10614.5478,5102.769749,5102.769749,5102.769749,5102.769749,13308.80878,2320.184137,1218.014901,1218.014901,1218.014901,1218.014901,2320.184137,6177.22464,6177.22464,7733.974387,7733.974387,2088.359459,2088.359459,2544.671516,2544.671516,55098.77018
135945.7083,53961.0657,53961.0657,49709.69524,49709.69524,2544.666246,2544.666246,2088.373175,2088.373175,10614.28625,5102.780802,5102.780802,5102.780802,5102.780802,13308.97308,2320.188032,1218.018199,1218.018199,1218.018199,1218.018199,2320.188032,6177.261843,6177.261843,7733.945466,7733.945466,2088.373175,2088.373175,2544.666246,2544.666246,55098.62889
135923.5855,53819.7866,53819.7866,49539.86633,49539.86633,2523.419998,2523.419998,2064.968835,2064.968835,10589.92762,5066.137975,5066.137975,5066.137975,5066.137975,13298.06489,2304.673662,1203.728017,1203.728017,1203.728017,1203.728017,2304.673662,6140.469262,6140.469262,7712.252256,7712.252256,2064.968835,2064.968835,2523.419998,2523.419998,55277.31188
136084.4024,53915.01962,53915.01962,49540.61538,49540.61538,2544.539794,2544.539794,2077.027834,2077.027834,10572.10806,5097.216793,5097.216793,5097.216793,5097.216793,13347.94973,2314.80301,1214.273119,1214.273119,1214.273119,1214.273119,2314.80301,6156.721058,6156.721058,7755.283637,7755.283637,2077.027834,2077.027834,2544.539794,2544.539794,55320.59987
135919.0988,53865.29749,53865.29749,49606.9047,49606.9047,2528.567271,2528.567271,2071.988517,2071.988517,10576.16269,5081.989968,5081.989968,5081.989968,5081.989968,13271.11322,2305.262818,1208.869651,1208.869651,1208.869651,1208.869651,2305.262818,6152.506196,6152.506196,7715.948444,7715.948444,2071.988517,2071.988517,2528.567271,2528.567271,55216.81156
135933.9911,53859.09618,53859.09618,49584.93209,49584.93209,2528.428633,2528.428633,2070.486862,2070.486862,10569.08219,5081.602004,5081.602004,5081.602004,5081.602004,13274.61405,2304.303155,1208.408273,1208.408273,1208.408273,1208.408273,2304.303155,6149.914559,6149.914559,7718.546788,7718.546788,2070.486862,2070.486862,2528.428633,2528.428633,55243.18347
135942.583,53969.3613,53969.3613,49718.29211,49718.29211,2545.753669,2545.753669,2089.414727,2089.414727,10617.9962,5103.618143,5103.618143,5103.618143,5103.618143,13312.6744,2321.387416,1218.542457,1218.542457,1218.542457,1218.542457,2321.387416,6178.510679,6178.510679,7734.901662,7734.901662,2089.414727,2089.414727,2545.753669,2545.753669,55084.87531
135881.6489,53930.14693,53930.14693,49664.86229,49664.86229,2535.328046,2535.328046,2077.225858,2077.225858,10580.39612,5088.645182,5088.645182,5088.645182,5088.645182,13279.5628,2310.581358,1212.23204,1212.23204,1212.23204,1212.23204,2310.581358,6157.053356,6157.053356,7723.171317,7723.171317,2077.225858,2077.225858,2535.328046,2535.328046,55116.69065
135936.5103,53829.07177,53829.07177,49554.92024,49554.92024,2525.219128,2525.219128,2066.576181,2066.576181,10610.0964,5063.215844,5063.215844,5063.215844,5063.215844,13312.8016,2308.941502,1203.798612,1203.798612,1203.798612,1203.798612,2308.941502,6142.055003,6142.055003,7713.501326,7713.501326,2066.576181,2066.576181,2525.219128,2525.219128,55273.42842
135945.7083,53961.0657,53961.0657,49709.69524,49709.69524,2544.666246,2544.666246,2088.373175,2088.373175,10614.28625,5102.780802,5102.780802,5102.780802,5102.780802,13308.97308,2320.188032,1218.018199,1218.018199,1218.018199,1218.018199,2320.188032,6177.261843,6177.261843,7733.945466,7733.945466,2088.373175,2088.373175,2544.666246,2544.666246,55098.62889
135879.9121,53870.12582,53870.12582,49627.89766,49627.89766,2524.399522,2524.399522,2069.625303,2069.625303,10532.34345,5085.834888,5085.834888,5085.834888,5085.834888,13216.04643,2296.99048,1208.842137,1208.842137,1208.842137,1208.842137,2296.99048,6149.573481,6149.573481,7708.098663,7708.098663,2069.625303,2069.625303,2524.399522,2524.399522,55201.2518
136194.6894,53874.72252,53874.72252,49456.46933,49456.46933,2546.749023,2546.749023,2075.908541,2075.908541,10585.22452,5096.452541,5096.452541,5096.452541,5096.452541,13392.69682,2317.870334,1213.576009,1213.576009,1213.576009,1213.576009,2317.870334,6157.122812,6157.122812,7767.903698,7767.903698,2075.908541,2075.908541,2546.749023,2546.749023,55450.02545
136096.5597,53929.62919,53929.62919,49663.83546,49663.83546,2548.071434,2548.071434,2090.929906,2090.929906,10594.49944,5116.814412,5116.814412,5116.814412,5116.814412,13299.97823,2318.921335,1220.961376,1220.961376,1220.961376,1220.961376,2318.921335,6187.329096,6187.329096,7747.644034,7747.644034,2090.929906,2090.929906,2548.071434,2548.071434,55255.34676
135955.54,54023.94124,54023.94124,49687.12881,49687.12881,2552.718224,2552.718224,2087.367775,2087.367775,10605.72292,5102.305722,5102.305722,5102.305722,5102.305722,13356.42411,2325.157786,1218.988478,1218.988478,1218.988478,1218.988478,2325.157786,6167.155383,6167.155383,7753.266611,7753.266611,2087.367775,2087.367775,2552.718224,2552.718224,55076.99375
135981.7561,53896.18399,53896.18399,49686.92876,49686.92876,2535.458347,2535.458347,2083.748359,2083.748359,10565.55019,5107.367927,5107.367927,5107.367927,5107.367927,13230.34071,2306.799053,1216.649908,1216.649908,1216.649908,1216.649908,2306.799053,6177.19247,6177.19247,7721.657179,7721.657179,2083.748359,2083.748359,2535.458347,2535.458347,55207.75625
135830.8449,53919.69015,53919.69015,49660.59439,49660.59439,2529.296272,2529.296272,2072.221354,2072.221354,10571.05655,5078.336904,5078.336904,5078.336904,5078.336904,13266.28989,2306.450719,1208.872603,1208.872603,1208.872603,1208.872603,2306.450719,6147.786739,6147.786739,7711.649162,7711.649162,2072.221354,2072.221354,2529.296272,2529.296272,55103.43291
135964.305,53937.96525,53937.96525,49700.51049,49700.51049,2542.650108,2542.650108,2087.893671,2087.893671,10613.17276,5103.0139,5103.0139,5103.0139,5103.0139,13298.48958,2318.461772,1217.580552,1217.580552,1217.580552,1217.580552,2318.461772,6178.963677,6178.963677,7731.101608,7731.101608,2087.893671,2087.893671,2542.650108,2542.650108,55132.82068
136024.7442,53824.74849,53824.74849,49571.44518,49571.44518,2528.169049,2528.169049,2072.281077,2072.281077,10561.84048,5089.12301,5089.12301,5089.12301,5089.12301,13252.84157,2302.409395,1209.788802,1209.788802,1209.788802,1209.788802,2302.409395,6158.344303,6158.344303,7720.646523,7720.646523,2072.281077,2072.281077,2528.169049,2528.169049,55345.46132
135892.0421,53996.29474,53996.29474,49700.86635,49700.86635,2544.752969,2544.752969,2083.82487,2083.82487,10590.01145,5097.889774,5097.889774,5097.889774,5097.889774,13312.6787,2317.848309,1216.630212,1216.630212,1216.630212,1216.630212,2317.848309,6163.796219,6163.796219,7736.557366,7736.557366,2083.82487,2083.82487,2544.752969,2544.752969,55054.07092
135895.4281,53785.394,53785.394,49524.16255,49524.16255,2515.973303,2515.973303,2060.219932,2060.219932,10565.7643,5061.975781,5061.975781,5061.975781,5061.975781,13262.22506,2296.99515,1201.106614,1201.106614,1201.106614,1201.106614,2296.99515,6135.370258,6135.370258,7700.140951,7700.140951,2060.219932,2060.219932,2515.973303,2515.973303,55301.03161
