b,e,c,n,w,be,bc,bn,bw,ec,en,ew,cn,cw,nw,bec,ben,bew,bcn,bcw,bnw,ecn,ecw,enw,cnw,becn,becw,benw,bcnw,ecnw
4301591.112,1573214.397,1696866.441,1601703.255,1442490.143,71271.44724,80271.81864,58186.20549,59674.71249,339662.4811,204535.1072,148119.5407,184793.0414,135738.8114,414478.5389,63062.07051,32810.6013,31560.47099,33203.41079,31938.48976,57599.04147,163808.2729,126094.5387,220551.0946,185752.3894,89891.60006,82582.97047,104345.3154,94173.85835,1670149.042
4302634.337,1573231.473,1697602.417,1601011.002,1442293.796,71377.58898,80967.01031,58666.22417,60061.65139,339608.5379,204326.5143,148150.0811,185427.246,134900.927,414009.4186,63382.23079,32360.26149,31832.50485,33400.62525,32141.43911,57349.79542,163841.1803,125976.8125,221006.4358,185357.9182,88668.13875,83077.41261,104179.8637,93838.75003,1670980.947
4310698.681,1572039.941,1695208.276,1601624.946,1440597.639,72162.69365,81075.25974,58357.40389,59481.01508,339705.46,204423.6087,147866.8973,184501.7098,135526.4332,414854.8406,63407.51315,32967.75425,31642.73353,33325.66386,31958.40764,57964.87936,163750.9727,126105.172,221056.334,186262.837,89271.51848,82734.84263,104990.2934,94609.65018,1677762.814
4300777.418,1572737.352,1697218.962,1604177.303,1442619.874,72123.4092,81455.84504,58296.23101,59959.34484,340640.7812,205567.3908,148822.9194,185799.019,135951.8061,413494.0243,63727.93198,33277.79006,31947.77162,33781.38586,32375.11819,57186.47647,164985.0673,126632.9212,221751.6534,186291.9923,90819.26061,83046.22375,104223.5283,94062.63441,1668370.275
4293090.896,1572223.602,1696981.233,1603676.881,1445657.275,70913.62393,80009.27372,59178.31974,59447.61717,339690.2563,205215.8936,148997.4183,185619.2832,136176.7626,415624.8895,63513.93434,32824.06752,31751.91795,33662.92205,32037.38659,57482.20048,164644.546,127025.2909,220123.0466,184995.292,90172.13464,83054.77936,104079.2008,94112.9169,1664301.033
4304316.229,1572802.772,1696719.442,1601817.579,1441004.515,71674.56762,80663.15822,57971.43999,59721.62107,340012.3178,204072.8764,148548.5901,184322.3936,135509.1868,414314.1767,63457.08521,32380.54856,31422.52683,33195.49454,31577.62412,57267.08859,163756.9758,126353.7987,220768.3421,185804.8638,89470.09325,82536.15447,104323.9117,93816.71863,1673201.464
4307137.144,1574402.783,1695929.978,1599996.57,1441576.898,71764.26116,80914.94003,58118.36874,60002.26037,339763.0377,204551.7032,148055.3713,185005.0503,135800.5115,415394.2697,63229.24766,32973.71646,31808.11646,33513.38623,32081.06384,58296.76828,163594.8558,125727.2679,220813.2392,186623.6112,89453.19555,82770.37259,104504.7878,94532.15319,1674400.657
4302053.183,1573546.161,1696680.294,1601813.057,1442983.876,71109.63362,80056.78252,57830.63623,59536.92502,339559.1449,204360.2527,148188.3579,184899.5867,135368.8186,414789.7189,62860.68296,32521.92621,31548.38568,32814.58104,31735.52526,56847.17443,163589.5215,125975.0054,220377.9119,185499.8143,89085.00049,82298.45918,103305.921,93360.98232,1667697.928
4298433.025,1573514.532,1697446.029,1600260.124,1442534.423,71093.80778,80020.44172,58209.98348,60101.99299,339386.4782,204109.0041,148384.7886,184146.123,135464.4053,414202.6422,63076.24793,32803.79027,31506.40779,33420.6476,31740.33634,57775.75285,163397.2199,125671.4388,220516.2428,185567.1433,89351.22174,81660.15997,104450.2722,94185.35104,1673866.42
4298601.596,1574257.528,1697295.321,1602352.721,1444530.807,72057.55246,80729.29234,58367.23169,60108.03958,340911.3861,205256.8777,147325.162,184546.9833,135814.9185,416110.3308,63478.89491,32855.43253,31706.19209,32954.53177,32101.3644,57764.08966,165397.3326,126465.7521,220712.7784,186521.5108,90065.47031,82784.83149,104768.7644,94584.73569,1664644.358
4298196.239,1573848.087,1696205.702,1602005.37,1443295.325,71289.02689,79624.06514,57838.30877,59635.72953,340098.1152,205142.0753,147919.5397,184838.1391,136031.6989,413163.2299,62673.56401,32700.33555,31521.63213,33223.93904,32077.70443,58248.35371,164292.2238,125501.0881,219281.0081,185901.9055,89982.47515,82755.6596,104414.4303,95042.5052,1667018.937
4309692.843,1574533.186,1697500.227,1600436.849,1440570.853,71446.34098,80361.9079,58444.15577,59846.36602,341268.694,204555.5866,147753.2611,184617.3763,135009.7727,415248.8752,63278.56707,32492.79783,31563.53786,32975.12003,31896.06767,58124.02798,164513.7438,126243.2884,220857.0323,185782.2366,89296.70645,82264.72455,104511.4985,94281.27943,1674666.931
4292121.13,1573921.72,1697909.669,1602012.45,1441055.814,71946.78044,80908.52353,58040.02441,59913.04206,340853.2395,204907.326,147828.8802,184973.5778,135591.5439,414408.2352,63134.91288,32773.28441,31975.2295,32979.07544,32071.721,58172.29364,163971.7156,126274.3505,221518.64,185941.4067,88758.38706,83315.46346,105156.5147,94415.43032,1665501.569
4302783.043,1573262.807,1696258.116,1602388.503,1441276.22,70590.39576,79821.32552,58218.80298,60465.91129,340202.5201,204588.1363,148199.4974,184802.5711,135897.191,413247.6838,62388.73447,32458.68873,31505.35639,32939.80542,31772.01268,57428.93716,164786.8599,126264.7443,219897.472,184977.276,89148.42182,81793.43025,103731.4974,93429.83895,1668195.047
4308484.61,1572490.398,1696472.177,1598873.987,1440485.944,72092.81023,81200.94425,58247.38624,59505.99844,340573.7108,203983.0882,148145.7061,184811.6745,135919.7857,415349.3335,63195.81635,32735.75438,31851.04426,33209.04985,31932.04462,58098.91352,164054.4312,126350.6624,222052.5167,187328.0524,89212.93412,83151.88336,105226.1825,94798.90061,1674578.624
4305223.657,1574422.335,1696507.123,1602030.232,1443513.768,72243.61127,80748.59308,58707.738,60381.66002,339928.7332,205086.7318,148685.4371,185358.6845,136317.8444,415189.5785,63424.12474,33120.74826,31891.73963,33553.42512,32219.16226,57928.64616,164231.1562,126663.7424,220774.2685,186329.342,90768.90577,83408.31469,104499.701,94723.1408,1673977.629
4294188.269,1575223.842,1697916.496,1602150.962,1441431.445,71270.472,80226.4655,58264.51778,60333.57519,340318.7922,204618.7402,148207.5847,184644.0227,135902.5498,416511.9359,63703.46598,32883.06378,31800.15702,33183.03829,32087.58649,58350.9809,163849.9837,126284.6206,221216.7945,186560.665,89688.72519,82758.06754,105033.1437,94808.79526,1664337.101
4298511.366,1571313.553,1694505.016,1603675.219,1442919.768,70965.452,80549.71299,58295.78551,59264.41655,338698.484,204972.7133,148289.9102,184699.0391,135872.1329,413520.256,63287.58933,33022.99181,31477.34823,33494.82935,32042.24355,57162.64065,163266.076,126363.2807,219783.7753,184853.1852,90009.3399,83418.32582,103807.1628,93647.35138,1668795.851
4293320.232,1574883.32,1698130.773,1601863.253,1442034.106,70793.67908,79806.05246,57657.04308,59123.61039,339402.0758,204218.3214,147963.297,184104.7465,135291.9228,414797.0646,62349.01144,32522.31828,31425.5697,32725.46522,31777.99841,57182.69491,162598.5222,125799.8338,220320.1903,185995.9365,88891.80526,82876.4342,104191.6236,93668.36672,1662054.568
4296142.565,1576431.042,1696715.406,1603855.873,1445748.574,71041.02768,79765.44529,58721.89041,60061.95729,341016.7005,204889.5079,148171.8483,185016.2672,136181.9589,413921.5944,62300.67038,33103.88119,31533.53778,33392.93982,32224.67717,57641.54099,164189.3625,126817.3337,219190.1347,185133.6785,90267.20448,83248.77238,104394.5643,94655.11836,1667963.573
4306670.182,1573552.248,1696613.351,1599429.564,1440560.664,71801.99817,81178.72227,58548.73482,59678.86876,338937.8799,204746.8822,148222.0624,183977.2768,135736.1829,413239.9181,62936.48147,32989.04487,31422.48465,33347.49688,32322.3562,57646.58436,163542.7472,126272.2872,221307.7785,185966.2693,89705.11802,82901.99285,104505.7878,94007.19924,1674567.249
4296613.02,1572796.566,1697461.34,1602079.779,1442926.001,71874.18645,81103.22984,58824.68814,59967.58162,339476.8201,205253.6412,148785.6306,185058.0369,135879.8015,414853.3943,63603.84597,33085.78425,31795.48092,33399.15931,32001.28292,57350.01174,164523.1097,126320.2916,221004.4261,186216.0056,89716.81207,82913.5265,104774.1248,93656.36501,1662102.869
4304398.634,1571618.31,1696400.356,1601698.283,1440412.927,71317.8453,80466.74236,57715.1628,58792.06293,339714.2499,203765.3431,147519.6236,184186.4797,135105.6665,414259.5846,63245.06331,32235.14653,31489.29964,32789.11439,31554.93352,56893.83976,162910.2898,126255.8533,221076.6401,185814.0963,89315.32407,82560.78813,103869.0152,93294.8477,1674677.796
