site_pat,point_estimate,low_bound,high_bound
b,4301591.112,4292013.317,4309580.564
e,1573214.397,1571335.7,1575447.362
c,1696866.441,1695176.24,1698130.758
n,1601703.255,1598904.849,1603821.056
w,1442490.143,1439001.032,1445728.032
be,71271.44724,70457.97871,72153.85464
bc,80271.81864,79655.27203,81195.94431
bn,58186.20549,57602.03008,58994.02535
bw,59674.71249,58797.29014,60597.04269
ec,339662.4811,338525.0219,341026.3665
en,204535.1072,203843.5395,205558.1253
ew,148119.5407,147288.8057,148958.156
cn,184793.0414,184005.9575,185587.9677
cw,135738.8114,134986.873,136305.3613
nw,414478.5389,412751.5298,416192.9465
bec,63062.07051,62357.94912,63681.05148
ben,32810.6013,32245.62452,33276.93995
bew,31560.47099,31073.41371,31975.16725
bcn,33203.41079,32739.78628,33912.65205
bcw,31938.48976,31559.69059,32329.26488
bnw,57599.04147,56825.13844,58285.875
ecn,163808.2729,162696.8803,165304.5729
ecw,126094.5387,125280.0781,127059.0047
enw,220551.0946,219339.9268,221743.9524
cnw,185752.3894,184605.7442,186744.3331
becn,89891.60006,88649.95996,91018.31117
becw,82582.97047,81690.14578,83387.42316
benw,104345.3154,103690.7884,105210.5073
bcnw,94173.85835,93265.14212,94923.2016
ecnw,1670149.042,1662126.558,1677813.2
