site_pat,point_estimate,low_bound,high_bound
b,178348.8241,176784.1215,179565.3731
e,63064.37659,62724.31776,63541.06563
c,67455.56416,67162.83515,67870.70093
n,66800.50547,66344.91532,67189.53772
w,60122.57978,59552.89975,60734.27947
be,1757.616804,1614.294279,1890.932144
bc,1999.871875,1900.247126,2150.400093
bn,1405.631183,1345.932391,1527.794626
bw,1474.429872,1408.89417,1622.84719
ec,16815.82532,16365.64099,17243.72141
en,7567.890193,7394.425276,7729.180145
ew,5191.712796,5074.861087,5330.669928
cn,7132.575356,7008.169469,7258.321736
cw,4753.678433,4644.15055,4878.448015
nw,17722.81721,17149.46811,18257.0939
bec,1595.798221,1491.068284,1734.400802
ben,726.5116298,693.2423757,806.4020984
bew,726.4326846,690.5132645,785.9855305
bcn,775.3915641,722.4017697,843.7240286
bcw,733.6104299,693.2974951,799.6416604
bnw,1483.932587,1414.16167,1601.695342
ecn,6863.20285,6660.984841,7129.776402
ecw,4791.290778,4608.952696,5019.641455
enw,8650.757453,8455.30136,8884.285166
cnw,7245.659891,7054.240827,7501.17849
becn,2457.663109,2294.748319,2640.154426
becw,2190.087623,2106.537626,2309.085445
benw,2717.98862,2616.148804,2871.344502
bcnw,2571.430158,2453.894633,2684.070051
ecnw,66974.56748,65852.30219,68269.74251
