b,e,c,n,w,be,bc,bn,bw,ec,en,ew,cn,cw,nw,bec,ben,bew,bcn,bcw,bnw,ecn,ecw,enw,cnw,becn,becw,benw,bcnw,ecnw
139347.7415,52720.7187,56341.40931,50128.89301,50106.10309,2416.584647,2808.851116,2087.536958,2086.155744,10938.15818,5712.763368,5735.553287,4673.560284,4669.131676,13674.97883,2256.095012,1226.416132,1227.797346,1227.937443,1226.555706,2253.624273,5952.014786,5956.443394,8408.493284,6888.964186,2087.268004,2088.649741,2792.588274,2404.505314,58018.76302
138535.7685,52720.09607,56382.10693,49972.78276,49950.10093,2374.417204,2763.612401,2042.967068,2041.616786,10778.15731,5671.73563,5694.417463,4616.503746,4612.149568,13659.64901,2215.618671,1204.428416,1205.778699,1205.897867,1204.547143,2213.527566,5855.185752,5859.539929,8344.895236,6816.551433,2042.559557,2043.910281,2749.65654,2364.056165,57447.96608
139532.541,52289.58565,55948.70587,49858.77073,49825.38526,2350.910188,2744.923193,2032.383949,2030.389204,10689.92189,5672.862494,5706.247964,4629.463722,4622.972406,13308.32685,2176.716089,1198.257501,1200.252246,1200.397345,1198.40183,2174.259817,5883.719706,5890.211022,8332.251965,6795.074881,2031.492113,2033.487628,2728.22663,2338.655396,58787.15106
139301.6715,53119.36903,56488.16118,50447.49746,50436.87642,2432.245279,2794.98282,2116.104524,2115.451502,10868.99813,5699.617196,5710.238237,4721.02359,4718.937864,13634.6476,2271.515189,1242.610445,1243.263467,1243.375761,1242.722533,2269.455709,6006.574663,6008.66039,8319.597238,6917.178031,2116.397188,2117.050416,2781.49835,2422.057461,57772.76689
138654.3358,53145.6977,56723.31714,50364.37785,50344.29328,2442.705774,2828.829713,2103.715077,2102.496193,11005.78141,5706.787088,5726.871657,4676.577324,4672.702999,13881.32225,2290.023715,1236.364507,1237.583391,1237.708248,1236.488944,2287.759193,5940.146237,5944.020563,8411.471454,6914.304639,2103.52303,2104.742335,2814.109395,2431.661957,57002.21905
139016.9499,52852.99475,56337.98021,50145.63616,50127.60152,2412.591609,2785.420736,2086.724332,2085.633937,10932.50379,5683.702904,5701.737545,4677.32526,4673.827716,13737.37234,2258.632687,1225.81731,1226.907706,1227.025071,1225.934316,2256.485685,5947.959518,5951.457062,8346.421503,6891.994441,2086.607896,2087.698651,2771.294932,2401.960518,57669.35745
138569.6763,53297.19599,56884.3416,50461.78826,50436.09245,2459.630032,2848.908806,2110.514311,2108.948656,10919.8272,5733.823813,5759.519624,4704.668394,4699.701046,13829.71231,2288.44976,1245.381516,1246.947171,1247.081198,1245.514969,2286.061983,5942.566834,5947.534181,8445.331963,6942.96888,2110.043223,2111.609452,2833.27286,2447.918074,56818.82469
138891.1477,52683.84038,56259.71804,50206.78675,50181.5506,2385.183468,2768.07001,2075.025944,2073.506927,10863.44944,5696.258829,5721.494977,4666.45363,4661.564622,13521.45974,2227.532112,1219.292503,1220.811521,1220.932333,1219.412819,2225.425015,5936.418653,5941.307661,8318.701141,6828.709657,2074.46145,2075.980964,2754.085741,2374.807451,57686.85715
139265.1924,52827.33553,56386.8196,50151.75195,50124.65384,2430.728952,2816.60226,2092.497535,2090.854545,11008.54943,5688.408074,5715.506179,4670.037878,4664.781322,13788.04214,2273.507422,1227.198566,1228.841556,1228.987588,1227.343934,2270.843462,5950.941513,5956.198068,8409.529584,6914.498015,2092.050684,2093.694339,2799.225061,2417.702902,57853.55629
138837.6449,52602.88993,56101.04024,49937.04377,49908.57636,2368.911178,2746.071671,2022.812956,2021.124672,10869.05363,5565.050943,5593.518345,4567.757149,4562.286209,13600.759,2208.714813,1185.734481,1187.422766,1187.59047,1185.901367,2205.57306,5829.643769,5835.114709,8290.079781,6814.983208,2022.512384,2024.201487,2725.33013,2353.307249,57974.67527
139492.7506,53598.69735,56942.35229,50990.39876,50967.19011,2535.659375,2908.748872,2194.291929,2192.832402,11155.61846,5769.956968,5793.165616,4813.101117,4808.522574,13812.66198,2359.776475,1287.354213,1288.813741,1288.979503,1287.519309,2356.696883,6108.836694,6113.415238,8471.229549,7064.009355,2194.256772,2195.716966,2889.079899,2520.723685,57231.62329
138778.4673,52768.46285,56462.25413,50051.72972,50025.39393,2399.923457,2797.882141,2058.806651,2057.228854,10872.01168,5684.472832,5710.808617,4626.568384,4621.502187,13716.65674,2238.891187,1212.221469,1213.799266,1213.938338,1212.359944,2236.445622,5876.473583,5881.53978,8404.301838,6853.263132,2058.32573,2059.904124,2781.710305,2387.932383,57544.99001
139676.4269,52498.23799,55955.27543,50124.42702,50102.30207,2386.671902,2758.157529,2086.581261,2085.240213,11009.73536,5661.325707,5683.450656,4667.011072,4662.688169,13555.32337,2245.644236,1218.223382,1219.564429,1219.679566,1218.33809,2243.545044,5986.115995,5990.438898,8293.975366,6848.329101,2086.179762,2087.521237,2744.397799,2376.368278,58541.05686
139674.2919,52745.06894,56297.88256,50230.58017,50197.57066,2429.829634,2822.668162,2083.871608,2081.862994,10924.43292,5676.584641,5709.594148,4669.875448,4663.428887,13541.12996,2250.374549,1224.079212,1226.087826,1226.280244,1224.270578,2246.937603,5946.850044,5953.296605,8418.55287,6912.453683,2083.402996,2085.412662,2800.030865,2412.968571,58398.77149
137998.9813,52696.00681,56278.12806,50071.89577,50052.61593,2347.443767,2719.596681,2050.175334,2049.031518,10731.64135,5697.028991,5716.308838,4652.789825,4649.092657,13548.20537,2199.095397,1209.821246,1210.965062,1211.054847,1209.910749,2197.546872,5884.526724,5888.223892,8242.756124,6769.226415,2049.743093,2050.887191,2709.146273,2339.67787,56919.48242
138996.5182,52899.87896,56469.67398,50101.2955,50080.44109,2426.421549,2809.923582,2087.243701,2085.982698,10929.33256,5705.277424,5726.131838,4677.970148,4673.934329,13814.71111,2266.710659,1228.765389,1230.026393,1230.151198,1228.889759,2264.455946,5934.858743,5938.894562,8408.801182,6914.547527,2087.005235,2088.266674,2795.075856,2415.288061,57575.27789
139600.8348,52940.79648,56623.68855,50163.54046,50129.16295,2458.76101,2869.286649,2080.419277,2078.325382,10897.66238,5695.201815,5729.579329,4656.8435,4650.156436,13723.99237,2268.722937,1227.033518,1229.127414,1229.335973,1227.240897,2265.023373,5905.834907,5912.521971,8531.196034,6959.410239,2079.980076,2082.075151,2844.948127,2440.68149,58178.35495
139103.0802,52997.2796,56530.47228,50583.65558,50570.78147,2448.866995,2825.478412,2168.349183,2167.554946,11099.44866,5827.978906,5840.853013,4795.300491,4792.783484,13751.87149,2310.822036,1271.085682,1271.879919,1271.959881,1271.165477,2309.438295,6104.572073,6107.08908,8377.389864,6922.485685,2168.196158,2168.990562,2816.480989,2442.169252,57204.58442
139002.7489,52650.18535,56075.66725,50245.50829,50225.80495,2381.604852,2743.774819,2094.231075,2093.040661,10912.28824,5702.707977,5722.411316,4708.11192,4704.276943,13503.31363,2234.47362,1228.207937,1229.398351,1229.488194,1228.297485,2232.872639,5995.288682,5999.123658,8252.875221,6837.278253,2093.773483,2094.964192,2733.14943,2373.64557,57763.21889
138890.4077,52477.82183,56157.23641,49926.66122,49899.58644,2356.5968,2748.267195,2039.104753,2037.49283,10716.30311,5691.799196,5718.873973,4634.128084,4628.904036,13450.47445,2190.304006,1203.552695,1205.164618,1205.283818,1203.671381,2188.28136,5874.934795,5880.158844,8330.414737,6794.788194,2038.407609,2040.020046,2734.576624,2346.521353,57968.72392
139815.2571,52637.66668,56384.24081,50087.7209,50061.57663,2433.760961,2844.829491,2097.284047,2095.689698,10920.68687,5765.46326,5791.607531,4695.585348,4690.480625,13643.4099,2260.574918,1234.871246,1236.465595,1236.627256,1235.03224,2257.829801,5973.180695,5978.285417,8499.389126,6918.670757,2096.924762,2098.519778,2826.681864,2420.43973,58436.70977
139151.6589,52884.89543,56510.2261,50446.051,50413.80288,2426.527403,2823.872402,2100.202413,2098.238104,10921.51977,5723.449363,5755.697484,4689.566344,4683.291143,13531.25356,2255.664677,1234.431049,1236.395358,1236.549992,1234.584881,2252.999293,5963.288613,5969.563814,8405.402981,6881.475342,2099.444269,2101.409379,2806.342515,2413.575377,57687.86394
140009.74,52287.15589,55921.33627,49795.90099,49764.33666,2385.075325,2782.423975,2046.297773,2044.400681,10877.47422,5652.587755,5684.152084,4621.84096,4615.69036,13504.18618,2214.952521,1200.891535,1202.788626,1202.964462,1201.066464,2211.836976,5905.939918,5912.090518,8399.315496,6858.602224,2045.776576,2047.674574,2761.692196,2369.734189,59149.74867
139044.0961,52916.51658,56339.15878,50160.60554,50140.83521,2416.494151,2783.505527,2082.977879,2081.782526,10922.86318,5659.472436,5679.242772,4674.156043,4670.320568,13732.91697,2258.390471,1224.266599,1225.461952,1225.577417,1224.381669,2256.237972,5937.653016,5941.488491,8338.262968,6906.183093,2082.759882,2083.955629,2769.323954,2405.75831,57708.81798
139220.567,52644.97133,56279.23886,50118.46292,50093.44738,2401.507672,2793.079351,2081.984587,2080.473963,10925.11184,5713.144989,5738.160528,4669.53732,4664.685183,13623.93221,2244.898633,1223.12695,1224.637574,1224.765308,1223.254167,2242.669391,5946.510709,5951.362846,8382.953911,6861.694892,2081.478489,2082.98963,2778.345553,2390.593429,57955.17109
139807.239,52880.77801,56413.30461,50337.21212,50321.5867,2451.258238,2831.559854,2147.857555,2146.891814,10968.11158,5814.435418,5830.060834,4790.584515,4787.508524,13683.38683,2292.313943,1264.770291,1265.736032,1265.834621,1264.868628,2290.60939,6079.006445,6082.082436,8429.8383,6960.640515,2147.681361,2148.647353,2820.287026,2442.862882,58113.41075
