b,e,c,n,w,be,bc,bn,bw,ec,en,ew,cn,cw,nw,bec,ben,bew,bcn,bcw,bnw,ecn,ecw,enw,cnw,becn,becw,benw,bcnw,ecnw
252202.823,90444.74678,97861.47816,92058.06965,81539.81096,4324.634767,4818.85707,3494.545559,3474.241837,19441.98765,11687.74624,8361.598932,10447.89195,7602.157553,23729.98855,3666.766555,1873.661317,1822.522017,1959.977352,1897.215157,3307.453411,9401.854942,7389.714324,12673.14712,10704.53662,4965.690763,4645.694575,5743.208133,5476.457461,98522.78899
251207.3632,90655.05868,98103.26882,92000.73426,81187.1922,4220.451533,4654.818753,3451.251191,3339.587562,19442.30814,11829.82297,8344.161221,10306.22261,7639.380788,23740.75749,3524.667118,1814.60148,1746.279059,1851.624429,1880.932507,3387.905385,9222.889626,7292.679286,12629.8008,10710.25865,4726.89294,4616.55611,5737.667808,5558.812475,97806.75176
251875.7428,89934.93602,97623.0389,91785.4038,80986.09922,4103.749338,4664.384677,3426.969888,3387.522997,19112.72528,11482.438,8437.861776,10468.9293,7456.110023,23180.25151,3511.344882,1828.914896,1762.47968,1929.702964,1812.746875,3227.144569,9190.740728,7407.813187,12669.81365,10367.43145,4991.069128,4527.510245,5652.353847,5484.063355,100256.8269
251483.557,90950.58146,97884.86891,92163.64781,81536.06967,4328.59205,4681.703176,3428.498001,3662.299816,19327.06559,11639.3045,8284.66376,10465.03112,7540.225704,23439.06217,3583.809453,1860.244045,1881.97246,1932.051317,1999.152933,3291.243664,9445.39794,7358.3324,12341.73938,10606.42345,5126.16229,4694.70488,5741.167558,5575.445115,97794.14038
249999.3707,90430.91473,98008.63603,92150.42046,81619.12193,4318.107714,4808.168422,3570.2811,3303.687817,19505.03765,11701.52537,8330.369608,10373.63762,7626.790126,24012.33776,3767.08402,1946.253515,1768.190083,1977.894531,1841.198499,3348.305891,9290.183007,7379.745168,12711.73546,10739.52999,4964.136886,4632.471671,5776.950709,5489.399758,96313.61481
251812.4314,90524.83918,97840.86114,92377.75561,81600.60183,4389.86433,4845.808498,3556.552217,3477.265294,19378.13461,11671.98585,8323.297853,10332.84105,7557.138058,24032.5857,3939.627192,1904.023574,1785.913295,1999.111974,1879.072683,3125.271206,9283.325159,7381.926061,12530.60081,10547.27596,5068.468283,4656.449,5588.392979,5399.930282,97804.93056
250275.8253,91045.75624,98264.4719,92008.70196,81310.76969,4544.716721,4946.247554,3502.815728,3540.069612,19550.88244,11661.14471,8366.501352,10425.5126,7740.150612,23838.13014,3801.405966,1912.388663,1808.153853,1964.492231,1889.750738,3237.0353,9402.709061,7318.220246,12715.04369,10908.99945,4925.795616,4557.026487,5655.118029,5289.273709,95748.3677
251848.6693,90368.05105,97980.34032,92593.22478,82006.17964,4344.544275,4768.117561,3468.443742,3408.497833,19468.94991,11778.48783,8421.82212,10533.34057,7662.525683,23658.30414,3630.34323,1833.101239,1765.099668,1948.508316,1843.073823,3331.676876,9403.64974,7367.000268,12523.55423,10690.66487,5002.390015,4575.116708,5720.744194,5412.931153,98602.83214
251842.7266,90514.8485,97642.20876,92292.91656,81194.84856,4360.116846,4837.355368,3538.194109,3582.241286,19643.20591,11736.00669,8266.585508,10428.02837,7545.56244,23924.98038,3648.272472,1781.159792,1833.715541,1912.897375,1918.090773,3417.729361,9471.298865,7475.024652,12768.84736,10887.98228,4725.04311,4577.819302,5682.079776,5478.394077,97875.70903
253764.7782,90734.34061,97780.82935,92086.31954,81505.37603,4224.476976,4615.44308,3409.020914,3385.676508,19573.63939,11612.54339,8161.668582,10347.74842,7468.646088,23712.38873,3390.994429,1807.23657,1702.375328,1818.940136,1800.229297,3406.138383,9368.325538,7223.546413,12572.20997,10671.05625,4940.57364,4463.921687,5759.403939,5620.260113,98275.75856
