Tb,Te,Tec,Tecnw,Tnw,m2,m5,twoNb,twoNbecnw,twoNe,twoNec,twoNecnw,twoNnw,twoNw
24895.2,5690.6,11381.2,38409.3,9697.89,0.00262953,0.218228,314900,74416.9,143501,193187,32938.1,125756,477050
24979.8,5718.43,11436.9,38522.8,9911.43,0.00299435,0.203918,227487,74413.2,66913.4,191587,32815.8,125064,382819
25145.9,5922.58,11845.2,38446.6,9546.42,0.00384669,0.220835,370606,74420.7,22670.9,186854,32801.8,126947,412296
24802.6,5631.69,11263.4,38341.9,9604.56,0.00292708,0.205973,433084,74372.9,52863.9,199644,33021.9,127003,421189
24482.6,5287.48,10575,38390.2,9873.57,0.00295978,0.224305,357767,74161.2,97617.5,201600,32906.6,124607,434183
25137.4,5921.21,11842.4,38432.3,9395.03,0.00487559,0.211247,485635,74162.3,70265,190715,32875,128755,361542
24983,5730.6,11461.2,38504.7,9635.77,0.00334701,0.220481,299790,74478.7,30308,192093,32873,125835,391313
25047.9,5817.19,11634.4,38461.3,9643.12,0.00302543,0.210045,380120,74376.9,82300.1,190332,32790.6,126083,332676
25497.1,6291.98,12584,38410.1,8973.04,0.00350669,0.230015,480175,74451.7,86492.4,181695,32867,129909,385759
25511.2,6355.21,12710.4,38311.9,8995.48,0.00582011,0.208146,412841,74373.2,129350,177180,32989.1,131431,409551
24863.8,5680.9,11361.8,38365.8,9293.67,0.00375147,0.216623,311103,74356.3,67748.6,189992,33067.5,127921,549799
24066.8,4849.19,9698.39,38435.2,10283.7,0.00249068,0.228936,481247,74501.7,62740.4,208515,33078.4,121273,479288
24313.4,5181.74,10363.5,38263.3,10050.9,0.00361464,0.215806,477895,74447.9,2329.13,203347,33125.7,123633,521793
24650.5,5494.5,10989,38312,9807.55,0.00465036,0.216682,354608,74220.7,32068.4,197069,32874.8,126567,463159
24601.9,5428.67,10857.3,38346.5,9311.85,0.00380033,0.217879,370068,74043.4,28199.4,200003,32958,128366,452619
24777.6,5585.97,11171.9,38383.2,9822.46,0.00396194,0.220558,511876,74182.7,51029.3,200031,32938.6,125618,492979
25068.6,5856.78,11713.6,38423.6,9385.25,0.00549136,0.216809,416621,74257.3,122853,187156,32819.7,127365,286123
25364.5,6221.4,12442.8,38286.2,8487.47,0.00519189,0.2137,449165,74181.2,100535,178628,32894.6,133240,325530
24514,5333.95,10667.9,38360,9780.28,0.00362142,0.215723,392648,74128,139531,202580,32954.3,125858,466707
25212.8,5996.78,11993.6,38432,9590.68,0.00343961,0.216326,390076,74433.4,20947.6,187912,32905.5,127174,430817
24692.6,5522.07,11044.1,38341,9291.06,0.00460066,0.212545,515633,74119.3,18107.5,192108,32851,128796,356114
24976.1,5827.78,11655.6,38296.7,9119.93,0.00458858,0.211657,493469,74249.4,70663.5,190334,32920.6,129537,363498
