b,e,c,n,w,be,bc,bn,bw,ec,en,ew,cn,cw,nw,bec,ben,bew,bcn,bcw,bnw,ecn,ecw,enw,cnw,becn,becw,benw,bcnw,ecnw
117023.9657,43247.58905,45699.52239,42676.46522,42671.91165,1307.60092,1495.851633,1093.653659,1093.49024,11019.92784,4275.645074,4280.198641,3554.293404,3553.481013,11831.60645,1243.446876,579.9232948,580.0867136,580.2391274,580.0755402,1237.945284,4765.432203,4766.244595,6295.974213,5284.953941,1095.062659,1095.226247,1462.562949,1281.163804,45735.37335
117288.4341,43562.48092,46076.02418,42844.8491,42838.63729,1344.44039,1541.538509,1115.119412,1114.89155,11078.8738,4303.189661,4309.401478,3569.893281,3568.780036,11996.78925,1278.44188,592.7695057,592.9973683,593.1573282,592.9292249,1272.740355,4774.162755,4775.275999,6395.858345,5348.839161,1116.535947,1116.76405,1507.312039,1317.287989,45636.85554
117863.9774,43502.97621,45950.53152,43184.19615,43181.6959,1337.538274,1525.888481,1159.774668,1159.681218,11177.63425,4376.146351,4378.646604,3647.77676,3647.325839,11866.56573,1297.983493,613.7088035,613.8022538,613.9597132,613.8661704,1292.605592,4909.719745,4910.170666,6298.215098,5303.27179,1161.278881,1161.372424,1493.56045,1311.973769,45988.21811
117816.8584,43168.99871,45586.06998,42497.31555,42495.73304,1315.175575,1498.476939,1109.001143,1108.943658,11285.37276,4234.2209,4235.80341,3522.48548,3522.203038,12191.80663,1284.500145,582.3786631,582.4361483,582.5770774,582.5195352,1279.03771,4787.788679,4788.071122,6297.790326,5299.433005,1110.48015,1110.537692,1466.200285,1289.238963,46468.60757
117326.2239,42916.71816,45323.22283,42729.24171,42725.85154,1289.444992,1473.36256,1105.407003,1105.284725,11191.78663,4269.531971,4272.922143,3557.996561,3557.387703,11730.91764,1247.150618,579.9254326,580.0477108,580.1971042,580.0747042,1241.725269,4833.763195,4834.372054,6216.442438,5230.012807,1106.816122,1106.938522,1441.104156,1263.882734,46140.62141
117265.7398,43250.22701,45775.8638,42827.65242,42818.21409,1324.506626,1524.101381,1103.997502,1103.654002,11116.03723,4283.939685,4293.378015,3550.050048,3548.35478,11800.92667,1259.009314,583.765492,584.1089926,584.2782963,583.9344177,1253.03673,4779.515748,4781.211016,6352.390616,5297.757498,1105.342478,1105.686356,1488.489178,1296.465395,45858.50821
116817.2171,43264.76813,45557.43163,42630.786,42629.01278,1285.493911,1456.88582,1082.267494,1082.204609,10932.52056,4234.793852,4236.56707,3553.978124,3553.662705,11775.60531,1224.75293,574.2387818,574.301667,574.4349348,574.3719892,1219.69517,4754.705876,4755.021295,6195.109874,5259.867708,1083.664535,1083.72748,1425.877923,1260.518306,45694.10871
118417.1246,44069.73698,46626.3815,43283.66776,43280.43744,1426.794867,1634.05177,1195.687036,1195.561742,11164.81571,4453.353352,4456.583672,3703.637695,3703.049294,12184.31005,1358.058135,640.2380876,640.3633818,640.581451,640.4559909,1350.787872,4918.153446,4918.741847,6545.062638,5482.090452,1197.774664,1197.900124,1590.34758,1392.232406,45940.03519
116906.077,43487.72643,46015.24907,42772.2163,42763.89823,1336.873259,1536.699714,1093.380885,1093.080005,11055.10205,4265.619175,4273.937251,3532.772201,3531.288031,11940.76458,1259.888575,580.7474656,581.048345,581.2186821,580.9174589,1253.734793,4725.318768,4726.802938,6394.706492,5334.698255,1094.822616,1095.123839,1499.901992,1307.71699,45423.61245
116879.1449,43083.53336,45393.26919,42825.19036,42822.89868,1277.701072,1451.064883,1094.47761,1094.39615,11246.87745,4203.411981,4205.703654,3516.77643,3516.370084,11823.29476,1243.710007,571.6418209,571.7232809,571.8611779,571.779638,1238.365575,4794.316023,4794.72237,6137.793957,5197.544665,1095.893674,1095.975214,1419.592772,1252.435831,45687.16697
117219.3451,43232.38207,45729.90806,42699.03215,42691.12535,1314.75155,1511.103394,1093.323017,1093.037048,10668.44814,4361.881948,4369.788746,3630.854378,3629.42344,11440.10003,1213.630434,588.6348895,588.9208582,589.0894203,588.8031473,1208.136311,4785.371715,4786.802653,6355.549269,5321.515963,1094.658325,1094.944598,1476.406252,1287.617776,46030.23068
116818.9265,43374.56369,45771.85885,42614.2771,42610.9804,1311.687551,1493.890167,1086.401716,1086.28438,11267.40929,4183.684253,4186.980946,3479.540533,3478.960129,12203.39924,1267.624763,570.3219795,570.4393152,570.5863244,570.4688625,1261.743922,4715.476241,4716.056644,6275.049143,5282.970148,1087.919107,1088.036568,1459.427922,1283.879783,45452.96144
117499.2526,43628.49741,46129.06205,42971.17075,42967.44907,1348.808313,1542.387165,1136.534907,1136.397417,11291.95586,4299.805298,4303.526979,3564.095937,3563.432562,12206.60958,1309.88482,599.5133839,599.6508743,599.8126622,599.6750242,1303.971913,4812.124165,4812.78754,6362.226793,5330.08163,1138.100363,1138.238001,1507.590398,1321.072421,45628.18006
117021.3124,43371.22838,45852.83613,42573.58351,42570.786,1328.435884,1521.281748,1091.389008,1091.288501,10927.55325,4294.873446,4297.670959,3566.14246,3565.643508,11898.58906,1245.609513,582.5603179,582.6608241,582.8335339,582.7329102,1239.414732,4743.982183,4744.481134,6369.44729,5340.482051,1093.072038,1093.172662,1483.453494,1298.378248,45679.39446
116810.9725,43328.56244,45716.77409,42596.99597,42595.77615,1300.392426,1480.296442,1085.032006,1084.988703,11044.69038,4235.316244,4236.536065,3528.146055,3527.930411,11977.54183,1243.287634,574.4364504,574.4797542,574.6238776,574.5805293,1237.814471,4735.665363,4735.881007,6255.633875,5276.395837,1086.548315,1086.591663,1447.261307,1273.871318,45549.89449
