b,e,c,n,w,be,bc,bn,bw,ec,en,ew,cn,cw,nw,bec,ben,bew,bcn,bcw,bnw,ecn,ecw,enw,cnw,becn,becw,benw,bcnw,ecnw
182688.8089,64467.77531,68964.48479,68447.60211,61405.15705,1859.683101,2120.058623,1516.773744,1570.496057,17135.19678,7785.322375,5349.838325,7341.351286,4891.83157,18076.78643,1677.062509,773.7808543,781.9666055,836.5063956,785.6179826,1569.222281,7083.332079,4953.146958,8880.460715,7434.298819,2581.018751,2353.590322,2875.227132,2723.882933,68855.17854
182007.5535,64530.60911,69224.81784,69005.186,61197.60367,1989.060111,2268.601127,1565.964948,1531.032515,17266.88087,7870.061365,5502.729131,7492.442448,4964.29023,18129.67988,1723.941928,787.9498778,801.3131667,868.7027215,763.8982208,1529.960653,6954.316319,5049.669055,9005.222728,7585.817111,2557.763378,2382.343907,2930.342564,2750.882287,69019.58181
184075.2891,64046.07772,68636.93614,68073.47796,61090.95255,1872.841347,2132.520179,1592.432016,1567.246769,16630.1444,7781.506997,5435.317659,7420.874797,4924.651019,17564.05258,1556.163672,751.900559,781.5889981,827.7208197,763.8282622,1477.072547,7208.885543,5035.453,8943.13668,7570.111814,2439.152697,2314.36705,2885.826598,2673.164081,69913.21614
182564.244,64497.79743,68931.49979,68314.70288,61439.35404,1926.42686,2220.588922,1620.071105,1587.770154,17202.37528,7737.161355,5401.664298,7328.315471,4976.172028,18464.2663,1717.725116,803.6566732,787.908746,858.8980225,784.092262,1614.555096,7011.912024,5090.988786,9039.351559,7749.222854,2507.193299,2398.791474,2959.258229,2686.018391,68785.02187
182432.2923,64485.12735,69139.07752,68560.33247,61242.05377,1926.581776,2263.787916,1528.556151,1678.65039,17225.78507,7830.221476,5456.461627,7445.571201,4879.430178,18215.28668,1661.985462,798.4685756,833.7943943,900.0703535,833.4067147,1667.737755,7082.346682,4908.661247,9210.613472,7596.755674,2673.668984,2406.553057,2949.32652,2844.869734,68747.8964
183691.0712,64315.18009,68701.81919,68186.5018,61174.84751,1784.307584,2120.534191,1528.091829,1582.494898,17002.29266,7758.080233,5309.859627,7353.772408,4875.342662,17718.29037,1575.442612,749.5286569,750.8651406,852.387654,766.4071245,1580.254769,7233.557237,4958.204657,8897.07211,7337.824884,2544.371669,2356.665595,2861.840186,2728.78106,69961.29025
182640.4762,64536.50563,69070.46559,68256.18346,61238.83297,1896.759258,2257.191821,1530.738811,1643.591707,17265.66567,7901.829878,5378.16178,7359.771643,4976.184362,18106.21991,1755.076314,818.8701496,804.1976921,892.5596906,855.6757947,1685.192511,7205.86044,4877.235522,8909.952237,7470.658778,2621.927495,2399.989114,2891.853563,2778.600376,68314.2999
182933.7662,64650.19284,69265.08173,67592.21013,60590.78157,1933.777542,2339.263938,1531.926808,1584.842003,17287.12743,7879.552852,5244.642676,7225.220076,4946.714711,18351.64595,1751.28407,809.7937512,765.2918983,887.5410568,787.0160736,1719.574605,6948.540983,4803.340644,9134.471105,7583.452497,2658.983093,2348.54022,2905.712802,2823.91809,69130.1572
181753.1679,64672.15124,68754.45891,68558.97609,61712.13525,1818.895328,2068.836732,1480.681549,1510.856536,17151.40623,7805.938599,5243.535386,7259.847849,4941.302014,18043.7693,1614.449966,763.4232053,766.5838526,800.0287802,767.0819302,1529.418536,7115.588077,4806.691369,8699.6166,7430.851696,2545.298481,2267.913115,2856.907636,2777.00643,69141.22035
182854.4838,64396.1792,68941.87876,68775.07648,61747.92247,1748.959809,2039.809637,1406.863364,1517.589141,16921.03261,7844.387042,5263.727663,7360.235441,4860.265188,18059.04822,1599.511899,722.2944985,756.5709017,799.7947346,757.0514313,1515.64589,7114.096228,4917.627642,8823.203672,7346.799379,2543.239834,2357.512891,2821.494602,2650.779655,68757.66362
182629.6879,64729.74587,69067.85966,68473.04305,61687.05603,1855.526295,2071.640207,1513.354649,1517.371181,17092.38946,7778.118822,5354.451878,7279.808752,4914.256705,17945.83105,1631.956599,797.4469407,773.0461914,858.2980203,789.4840701,1551.358521,7105.109295,4930.35857,8959.507632,7418.381404,2585.289268,2315.317902,2868.574627,2750.656259,69483.43539
